epoch,MRR,Hit@1,Hit@5,Hit@10,MeanRank
200,0.6116113662719727,0.5023809522390366,0.7414285838603973,0.8209047615528107,22.77542781829834
400,0.6445888578891754,0.5379047393798828,0.772857129573822,0.8468095064163208,20.74219036102295
600,0.6617444157600403,0.5565237998962402,0.7912856936454773,0.8611904382705688,20.79628562927246
800,0.6758663654327393,0.5717142820358276,0.8038571178913116,0.8715237975120544,21.384238243103027
1000,0.6870763003826141,0.5843333303928375,0.814380943775177,0.8789999783039093,22.17290496826172
1200,0.6957271695137024,0.5940476357936859,0.8230952322483063,0.8834761679172516,22.90690517425537
1400,0.7019031941890717,0.6014285683631897,0.8286190330982208,0.8868095278739929,23.969999313354492
1600,0.7069933712482452,0.6068094968795776,0.8316666781902313,0.8892857134342194,25.107142448425293
1800,0.7115464508533478,0.6128095388412476,0.8363809287548065,0.8913333117961884,26.507238388061523
2000,0.7170242071151733,0.6208095252513885,0.840238094329834,0.8929999768733978,27.79252338409424
2200,0.7195012271404266,0.623285710811615,0.8413333296775818,0.8946190476417542,28.982379913330078
2400,0.7233585715293884,0.6278095245361328,0.8432857096195221,0.8956666588783264,30.625189781188965
2600,0.7258854806423187,0.6317618787288666,0.8453333079814911,0.8966666460037231,32.13176155090332
2800,0.7279597818851471,0.6338095366954803,0.8459999859333038,0.897428572177887,33.467952728271484
3000,0.7312564849853516,0.638952374458313,0.8467619121074677,0.8971904814243317,35.0014762878418
3200,0.7332492470741272,0.6413809359073639,0.8476190268993378,0.897857129573822,36.66695213317871
3400,0.7344758808612823,0.6434761881828308,0.8479047417640686,0.8972856998443604,37.95914077758789
3600,0.7361455261707306,0.6466666460037231,0.8488095104694366,0.8969047665596008,39.50680923461914
3800,0.7364731132984161,0.6469999849796295,0.8484285771846771,0.8969047665596008,40.777523040771484
4000,0.7369135022163391,0.6477619111537933,0.8475238084793091,0.8968571424484253,42.31442642211914
4200,0.7375659644603729,0.649476170539856,0.8475238084793091,0.8969523906707764,44.11004638671875
4400,0.737129807472229,0.6483809351921082,0.8483809232711792,0.8956666588783264,45.88999938964844
4600,0.7372195720672607,0.6483809351921082,0.8470475971698761,0.8949047327041626,48.13357162475586
4800,0.7370720207691193,0.6489999890327454,0.8463333249092102,0.8941904902458191,49.767141342163086
5000,0.737630307674408,0.6501904726028442,0.8455238044261932,0.8936666548252106,51.435380935668945
