epoch,loss
1,5.72376012802124
2,5.5112810134887695
3,5.31794548034668
4,5.135992527008057
5,4.953650951385498
6,4.788764476776123
7,4.59799337387085
8,4.4210686683654785
9,4.225577354431152
10,4.040215015411377
11,3.845493793487549
12,3.651531457901001
13,3.456263780593872
14,3.2554619312286377
15,3.055280923843384
16,2.867811441421509
17,2.672058343887329
18,2.4672963619232178
19,2.2926206588745117
20,2.109549045562744
21,1.9364839792251587
22,1.7634950876235962
23,1.6061123609542847
24,1.4465523958206177
25,1.3170024156570435
26,1.1823734045028687
27,1.0543889999389648
28,0.9387343525886536
29,0.8363218307495117
30,0.7545501589775085
31,0.6763168573379517
32,0.608283281326294
33,0.5437358021736145
34,0.4899887442588806
35,0.45265477895736694
36,0.4185100793838501
37,0.37960830330848694
38,0.3481387197971344
39,0.31727272272109985
40,0.29132142663002014
41,0.2748931348323822
42,0.25447264313697815
43,0.24187389016151428
44,0.2257368415594101
45,0.21145102381706238
46,0.20337188243865967
47,0.18923622369766235
48,0.1839931607246399
49,0.1725357472896576
50,0.17048199474811554
51,0.1625801920890808
52,0.1559702605009079
53,0.1480705291032791
54,0.1436443030834198
55,0.1374986469745636
56,0.1322966068983078
57,0.13051579892635345
58,0.1264997124671936
59,0.12158702313899994
60,0.12146256119012833
61,0.11527881771326065
62,0.11245337873697281
63,0.10931454598903656
64,0.1100001186132431
65,0.10671454668045044
66,0.10370609164237976
67,0.10493102669715881
68,0.09986367076635361
69,0.09953109920024872
70,0.09638949483633041
71,0.0971464142203331
72,0.09157181531190872
73,0.0935385450720787
74,0.08640491217374802
75,0.09191357344388962
76,0.08785059303045273
77,0.08915159851312637
78,0.0822671577334404
79,0.08178044110536575
80,0.08388322591781616
81,0.07950131595134735
82,0.08085129410028458
83,0.0819360539317131
84,0.08076883107423782
85,0.07808409631252289
86,0.07980072498321533
87,0.07528232038021088
88,0.07117109000682831
89,0.0732869878411293
90,0.07248353958129883
91,0.07131582498550415
92,0.07009973376989365
93,0.07132872939109802
94,0.06885655969381332
95,0.06870009750127792
96,0.06727734953165054
97,0.06820502132177353
98,0.06584835797548294
99,0.06781201809644699
100,0.06318394839763641
101,0.06488615274429321
102,0.06408477574586868
103,0.062009263783693314
104,0.06287746876478195
105,0.061205435544252396
106,0.06275233626365662
107,0.06312797963619232
108,0.06089961528778076
109,0.05938972905278206
110,0.05658790096640587
111,0.05937836691737175
112,0.059103406965732574
113,0.055639881640672684
114,0.05580904334783554
115,0.05527951940894127
116,0.057014256715774536
117,0.05656769126653671
118,0.051335517317056656
119,0.05508967116475105
120,0.05162118002772331
121,0.05086345970630646
122,0.04897230118513107
123,0.05366632714867592
124,0.051487036049366
125,0.05111788958311081
126,0.05088259279727936
127,0.05057389661669731
128,0.05150500684976578
129,0.051999282091856
130,0.04821697250008583
131,0.049970149993896484
132,0.04931977391242981
133,0.047242432832717896
134,0.04799661412835121
135,0.04670485481619835
136,0.04551061987876892
137,0.04715429246425629
138,0.04617701843380928
139,0.045863501727581024
140,0.04733661189675331
141,0.04501987621188164
142,0.04409468546509743
143,0.043260879814624786
144,0.04528086259961128
145,0.03983576223254204
146,0.04469861090183258
147,0.04049170762300491
148,0.04202704131603241
149,0.04250763729214668
150,0.04284455627202988
151,0.04066909849643707
152,0.040994804352521896
153,0.04172081500291824
154,0.039933010935783386
155,0.04121537506580353
156,0.0401955172419548
157,0.038444992154836655
158,0.03786887601017952
159,0.03945314884185791
160,0.03843684494495392
161,0.03817551210522652
162,0.03762809932231903
163,0.03717729449272156
164,0.039553653448820114
165,0.03951786458492279
166,0.03537730500102043
167,0.03684565797448158
168,0.035967689007520676
169,0.03683880344033241
170,0.0359317883849144
171,0.03497493639588356
172,0.0355394147336483
173,0.03485725075006485
174,0.03434772789478302
175,0.03329699859023094
176,0.035216640681028366
177,0.03205013647675514
178,0.0350504070520401
179,0.03289453312754631
180,0.033196043223142624
181,0.03142832964658737
182,0.03431595116853714
183,0.03183344006538391
184,0.03361060842871666
185,0.031086817383766174
186,0.031601179391145706
187,0.03268644958734512
188,0.03190768510103226
189,0.02999713458120823
190,0.03105289302766323
191,0.030480017885565758
192,0.031630612909793854
193,0.03031449019908905
194,0.030901499092578888
195,0.030163923278450966
196,0.029975030571222305
197,0.030320921912789345
198,0.02898011915385723
199,0.029934480786323547
200,0.02975502237677574
201,0.02822146750986576
202,0.028566954657435417
203,0.029528433457016945
204,0.030551567673683167
205,0.028869332745671272
206,0.027355967089533806
207,0.028313592076301575
208,0.026561567559838295
209,0.029220689088106155
210,0.027178065851330757
211,0.027230391278862953
212,0.0292255450040102
213,0.027573930099606514
214,0.02823570743203163
215,0.026120979338884354
216,0.027857931330800056
217,0.026081718504428864
218,0.028427425771951675
219,0.02802657149732113
220,0.025517329573631287
221,0.02591312862932682
222,0.02523021027445793
223,0.027257120236754417
224,0.02583954855799675
225,0.026545139029622078
226,0.02661553956568241
227,0.02538277395069599
228,0.0262506864964962
229,0.025808753445744514
230,0.024505149573087692
231,0.025298012420535088
232,0.024147776886820793
233,0.02499428577721119
234,0.02328173816204071
235,0.024984506890177727
236,0.022847529500722885
237,0.02431902289390564
238,0.0250044334679842
239,0.024964530020952225
240,0.024891134351491928
241,0.023734116926789284
242,0.02317172847688198
243,0.022488908842206
244,0.02290957234799862
245,0.02303260751068592
246,0.02215101756155491
247,0.02317095547914505
248,0.026093551889061928
249,0.02139737643301487
250,0.023683875799179077
251,0.0223081037402153
252,0.02457691915333271
253,0.02272968180477619
254,0.02197006344795227
255,0.02175763249397278
256,0.023419728502631187
257,0.022155746817588806
258,0.02079159766435623
259,0.022035939618945122
260,0.01870572753250599
261,0.02251022309064865
262,0.021339042112231255
263,0.022009851410984993
264,0.02239328809082508
265,0.021771181374788284
266,0.01898951642215252
267,0.021281760185956955
268,0.022684430703520775
269,0.021213866770267487
270,0.01944497600197792
271,0.01965852826833725
272,0.019904430955648422
273,0.02159658633172512
274,0.021285438910126686
275,0.020381281152367592
276,0.02014813758432865
277,0.01974508911371231
278,0.019791817292571068
279,0.02317844144999981
280,0.020829040557146072
281,0.02062699757516384
282,0.019174965098500252
283,0.018365200608968735
284,0.02124793268740177
285,0.019976986572146416
286,0.019375693053007126
287,0.020418604835867882
288,0.01939219795167446
289,0.02029678411781788
290,0.017793510109186172
291,0.01918371394276619
292,0.01892736367881298
293,0.018530625849962234
294,0.018576281145215034
295,0.018901241943240166
296,0.019138112664222717
297,0.018453897908329964
298,0.018164819106459618
299,0.0183810293674469
300,0.018353372812271118
301,0.01802965998649597
302,0.016894448548555374
303,0.01779342070221901
304,0.017146214842796326
305,0.017474457621574402
306,0.016879282891750336
307,0.01892179436981678
308,0.01876726560294628
309,0.017219606786966324
310,0.016738127917051315
311,0.018130995333194733
312,0.01789337955415249
313,0.01690552569925785
314,0.018612489104270935
315,0.017054984346032143
316,0.01798776537179947
317,0.016621531918644905
318,0.016216890886425972
319,0.017169680446386337
320,0.016514712944626808
321,0.016712728887796402
322,0.01646595634520054
323,0.01785639300942421
324,0.01742592640221119
325,0.016966532915830612
326,0.016941683366894722
327,0.017911871895194054
328,0.017184697091579437
329,0.017388761043548584
330,0.01715029589831829
331,0.01609802059829235
332,0.016693204641342163
333,0.014430447481572628
334,0.016716841608285904
335,0.015666278079152107
336,0.01508997194468975
337,0.014676593244075775
338,0.01670861430466175
339,0.01572784036397934
340,0.01708279736340046
341,0.015244787558913231
342,0.015471157617866993
343,0.016224514693021774
344,0.015477659180760384
345,0.01649790070950985
346,0.014676176011562347
347,0.015830686315894127
348,0.014305612072348595
349,0.013618665747344494
350,0.014499960467219353
351,0.015307903289794922
352,0.015571524389088154
353,0.015860484912991524
354,0.015815941616892815
355,0.01632820814847946
356,0.014238844625651836
357,0.014934184961020947
358,0.014617983251810074
359,0.014716986566781998
360,0.014584682881832123
361,0.014290246181190014
362,0.014467584900557995
363,0.014950213953852654
364,0.01417505368590355
365,0.012489408254623413
366,0.01383183617144823
367,0.014348836615681648
368,0.015468157827854156
369,0.013086751103401184
370,0.014469548128545284
371,0.01418980211019516
372,0.01461469940841198
373,0.014260219410061836
374,0.014925017021596432
375,0.01453795563429594
376,0.014187876135110855
377,0.013255511410534382
378,0.013879567384719849
379,0.013215407729148865
380,0.013713876716792583
381,0.01428437139838934
382,0.013405995443463326
383,0.013734433799982071
384,0.012792566791176796
385,0.013955535367131233
386,0.014847558923065662
387,0.013697775080800056
388,0.014652577228844166
389,0.01417152676731348
390,0.016061050817370415
391,0.013827553950250149
392,0.013139079324901104
393,0.013066023588180542
394,0.013345863670110703
395,0.013889032416045666
396,0.013596919365227222
397,0.012741109356284142
398,0.013284748420119286
399,0.012485893443226814
400,0.013194196857511997
401,0.012880202382802963
402,0.012740539386868477
403,0.013382168486714363
404,0.012081564404070377
405,0.012167533859610558
406,0.013799075037240982
407,0.011332474648952484
408,0.014097485691308975
409,0.013193280436098576
410,0.01207833644002676
411,0.01281267125159502
412,0.011028023436665535
413,0.01251222938299179
414,0.012200663797557354
415,0.012339229695498943
416,0.012866934761404991
417,0.012630327604711056
418,0.011934063397347927
419,0.011466571129858494
420,0.012438460253179073
421,0.013196472078561783
422,0.011820866726338863
423,0.011888779699802399
424,0.011811381205916405
425,0.013113759458065033
426,0.012738642282783985
427,0.011089200153946877
428,0.012470610439777374
429,0.010957056656479836
430,0.011915010400116444
431,0.011924470774829388
432,0.012988157570362091
433,0.012135212309658527
434,0.012521562166512012
435,0.012087524868547916
436,0.011206470429897308
437,0.011144331656396389
438,0.011442051269114017
439,0.01294588204473257
440,0.012058560736477375
441,0.011935541406273842
442,0.011393081396818161
443,0.012590277940034866
444,0.011346790939569473
445,0.012015334330499172
446,0.010752557776868343
447,0.011296280659735203
448,0.010849769227206707
449,0.011725605465471745
450,0.011083909310400486
451,0.011109811253845692
452,0.011215082369744778
453,0.010931048542261124
454,0.011471203528344631
455,0.011027331463992596
456,0.009989827871322632
457,0.01242774073034525
458,0.01106173638254404
459,0.011142769828438759
460,0.011581748723983765
461,0.012025649659335613
462,0.012213630601763725
463,0.011804851703345776
464,0.01059825997799635
465,0.011281812563538551
466,0.012018676847219467
467,0.011618267744779587
468,0.010036463849246502
469,0.011650221422314644
470,0.00980506744235754
471,0.011173867620527744
472,0.011992094106972218
473,0.010270021855831146
474,0.011587776243686676
475,0.012082082219421864
476,0.01191633939743042
477,0.010280836373567581
478,0.010922824032604694
479,0.010022451169788837
480,0.01013843435794115
481,0.010735508054494858
482,0.01098970789462328
483,0.010358485393226147
484,0.009960077702999115
485,0.011211858130991459
486,0.010369107127189636
487,0.011607378721237183
488,0.010893253609538078
489,0.01129140891134739
490,0.010619119741022587
491,0.011005472391843796
492,0.009283210150897503
493,0.010594426654279232
494,0.009977418929338455
495,0.010306397452950478
496,0.01165720447897911
497,0.011230913922190666
498,0.010694385506212711
499,0.009791716001927853
500,0.009192947298288345
501,0.009924905374646187
502,0.010468292981386185
503,0.010265238583087921
504,0.010843425057828426
505,0.010388526134192944
506,0.010523436591029167
507,0.009712460450828075
508,0.009221107698976994
509,0.010526050813496113
510,0.009395839646458626
511,0.011064189486205578
512,0.01000906154513359
513,0.010953395627439022
514,0.010072491131722927
515,0.010769796557724476
516,0.009674600325524807
517,0.009795459918677807
518,0.011068455874919891
519,0.010095469653606415
520,0.009578745812177658
521,0.010786282829940319
522,0.008928894065320492
523,0.010346046648919582
524,0.010018227621912956
525,0.009909424930810928
526,0.008821077644824982
527,0.008481861092150211
528,0.008976365439593792
529,0.009731688536703587
530,0.008644034154713154
531,0.010158156044781208
532,0.009669903665781021
533,0.009717567823827267
534,0.00863587949424982
535,0.008391604758799076
536,0.00875507015734911
537,0.00830920971930027
538,0.008927234448492527
539,0.010106993839144707
540,0.008454887196421623
541,0.00936899520456791
542,0.00860663503408432
543,0.00849043671041727
544,0.009819318540394306
545,0.008845251984894276
546,0.010293131694197655
547,0.00904001109302044
548,0.009152181446552277
549,0.008682656101882458
550,0.008555269800126553
551,0.008511480875313282
552,0.009304698556661606
553,0.009272892959415913
554,0.008544275537133217
555,0.007962060160934925
556,0.009874332696199417
557,0.009391482919454575
558,0.008457977324724197
559,0.009158956818282604
560,0.009153692983090878
561,0.010051960125565529
562,0.008659274317324162
563,0.008940557017922401
564,0.00868479534983635
565,0.00970701314508915
566,0.009137064218521118
567,0.009314137510955334
568,0.0073294262401759624
569,0.007915712893009186
570,0.008397131226956844
571,0.009192202240228653
572,0.009231332689523697
573,0.009197183884680271
574,0.008760616183280945
575,0.007850699126720428
576,0.009579971432685852
577,0.008742238394916058
578,0.00846033450216055
579,0.00971664022654295
580,0.008935609832406044
581,0.008055169135332108
582,0.009342403151094913
583,0.008707539178431034
584,0.008355500176548958
585,0.008774899877607822
586,0.008712700568139553
587,0.008151226677000523
588,0.007952643558382988
589,0.008415291085839272
590,0.00939355418086052
591,0.008494737558066845
592,0.00833737663924694
593,0.009176122955977917
594,0.008912825025618076
595,0.008179262280464172
596,0.009217902086675167
597,0.007902697660028934
598,0.009242678061127663
599,0.009574677795171738
600,0.009053589776158333
601,0.008311126381158829
602,0.00814625434577465
603,0.00809438619762659
