epoch,loss,kge,align,pseudo
1,1.983396300455419,0.9535906329387571,0.20596113585208248,0.0
2,0.7883609431545909,0.7499953944508623,0.007673108921863321,0.0
3,0.6165990102581862,0.5935394763946533,0.004611907157728948,0.0
4,0.4976576261404084,0.47958048523926156,0.0036154282165736687,0.0
5,0.41385115210602924,0.3978066059147439,0.003208909578416951,0.0
6,0.3546010452072795,0.33993362508169034,0.0029334840449936144,0.0
7,0.311260948093926,0.2978645410479569,0.0026792815273127906,0.0
8,0.281299303217632,0.267235501510341,0.0028127603397545653,0.0
9,0.258499157864873,0.2443588492346973,0.0028280618986705453,0.0
10,0.23989885754701568,0.22710262675110887,0.0025592463619143863,0.0
11,0.748648596246068,0.28050326683172366,0.09362906544673734,0.0
12,0.3965999971075756,0.3072702252283329,0.017865954398563724,0.0
13,0.3405574858188629,0.28312197036859466,0.011487102476743663,0.0
14,0.3106932312977023,0.26655680813440463,0.008827284881390812,0.0
15,0.29343292335184606,0.2540044308435626,0.007885698382401975,0.0
16,0.2955368524644433,0.24738274696396617,0.009630820770725244,0.0
17,0.2792491258644476,0.24179723495390357,0.007490378832898852,0.0
18,0.2659786332671235,0.23466735424065008,0.006262255866625687,0.0
19,0.25858576014274504,0.22776596975035784,0.006163958164795143,0.0
20,0.247117017100497,0.22177134454250336,0.00506913438780097,0.0
21,0.2397405934043047,0.2162486136686511,0.004698395950537993,0.0
22,0.23459780906758657,0.2117646525545818,0.004566631240134195,0.0
23,0.22958863544754865,0.2074081054547938,0.004436106117237814,0.0
24,0.22441255501130733,0.2035772004505483,0.004167070961557329,0.0
25,0.22143881095618737,0.20033161015045353,0.004221440247464471,0.0
26,0.21734358806435655,0.19755521307631238,0.0039576750657543906,0.0
27,0.2129386561672862,0.19448121509900906,0.00369148826646823,0.0
28,0.21199658331347676,0.19223476910009618,0.003952362781912997,0.0
29,0.20900515048969082,0.1899599865442369,0.003809032734574341,0.0
30,0.20414852405466685,0.18796070283505975,0.0032375646334868377,0.0
31,0.23149919946019243,0.1884095945009371,0.003901804391317433,0.0589514611034779
32,0.20488646372062405,0.1877738924288168,0.0033903195800986594,0.0004024320731376775
33,0.19851550387173164,0.18369978702649836,0.0029275742041446813,0.00044461326366971904
34,0.19581469239258184,0.18110881927536754,0.0029159189463116046,0.0003156959449747441
35,0.1926035702955432,0.17874438006703447,0.0027339568974949963,0.0004735143575533407
36,0.19990203620457067,0.17778269001623478,0.002526490998783762,0.023717224837860047
37,0.19046191144280317,0.1764809143979375,0.0027458280901333726,0.0006296412874490204
38,0.18800771636206928,0.17510085752824459,0.0025409272781050786,0.0005055563354001539
39,0.1855374178508433,0.17304281018129208,0.0024514410647609067,0.0005935077504368453
40,0.18464885942819642,0.17160985491624692,0.002564105104439233,0.0005461992848545267
41,0.19012421660306977,0.1710732473832805,0.002634071553319057,0.014701532131123424
42,0.18343126882867114,0.17081040398376743,0.002463706871267499,0.0007558274313540584
43,0.18370954510642262,0.16938499597514547,0.0027896897674242896,0.0009402511776254581
44,0.18067311695436153,0.16861945318012703,0.0023458166936662322,0.0008114444847195977
45,0.17926801922844676,0.1674602300655551,0.002300612110269778,0.0007618201432306683
46,0.18205494996978017,0.16659884990715398,0.002270207527411602,0.010262655462677841
47,0.1775892329652135,0.16581331411512887,0.0022987521341547553,0.0007053952864314452
48,0.1774111401017119,0.16461530727584187,0.002501105601479095,0.0007257615514213174
49,0.17579601995828675,0.16375084112330182,0.0023405704229911106,0.0008558178414227214
50,0.17437093468700968,0.16337161165911976,0.002150449205456847,0.0006176948000069299
51,0.1747734742920573,0.162543551224034,0.0018477711781132512,0.0074776687209278615
52,0.17169183129217566,0.16171727493041899,0.0019371170889892866,0.0007224269136758066
53,0.17045575707423977,0.16067584186065487,0.0019074126747266457,0.0006071294036057846
54,0.16965969379355267,0.15936411153979418,0.0020071907414736727,0.0006490734642905342
55,0.16909218670391454,0.15879893411950366,0.002006376289944278,0.0006534270189770656
56,0.17128443826989428,0.1589163032973685,0.0019507898264791725,0.006535461520287776
57,0.16859568401080807,0.15884311460867162,0.0018457608565790352,0.001309412016203945
