20:33:53 | INFO    | Model: naea | Device: cuda
20:33:54 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
20:33:58 | INFO    | Params: 12.69M
20:33:58 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/logs/naea_zh_en_0_3_20260718-203353
20:33:58 | INFO    | Device: cuda:0 | entities=38960 relations=3024 triples=165556 seed_pairs=4500 test_pairs=10500
20:42:51 | INFO    | epoch   39/500 | loss=0.1855 (kge=0.1730 align=0.0025 pseudo=0.0006)
20:43:14 | INFO    | epoch   40/500 | loss=0.1846 (kge=0.1716 align=0.0026 pseudo=0.0005) | hard-neg refreshed | bootstrap: 3326 pseudo-pairs (beta=0.4)
20:43:14 | INFO    |            [l2r] MRR=0.6750 Hit@1=0.5814 Hit@5=0.7890 Hit@10=0.8428 MR=66.5 | [r2l] MRR=0.6700 Hit@1=0.5732 Hit@5=0.7863 Hit@10=0.8405 MR=62.8 | [avg] MRR=0.6725 Hit@1=0.5773 Hit@5=0.7876 Hit@10=0.8416 MR=64.7
20:43:15 | INFO    |            -> new best MRR=0.6725 (saved model_best.pt)
20:43:36 | INFO    | epoch   41/500 | loss=0.1901 (kge=0.1711 align=0.0026 pseudo=0.0147)
20:43:57 | INFO    | epoch   42/500 | loss=0.1834 (kge=0.1708 align=0.0025 pseudo=0.0008)
20:44:18 | INFO    | epoch   43/500 | loss=0.1837 (kge=0.1694 align=0.0028 pseudo=0.0009)
20:44:38 | INFO    | epoch   44/500 | loss=0.1807 (kge=0.1686 align=0.0023 pseudo=0.0008)
20:44:59 | INFO    | epoch   45/500 | loss=0.1793 (kge=0.1675 align=0.0023 pseudo=0.0008) | hard-neg refreshed | bootstrap: 3698 pseudo-pairs (beta=0.4)
20:45:21 | INFO    | epoch   46/500 | loss=0.1821 (kge=0.1666 align=0.0023 pseudo=0.0103)
20:45:43 | INFO    | epoch   47/500 | loss=0.1776 (kge=0.1658 align=0.0023 pseudo=0.0007)
20:46:05 | INFO    | epoch   48/500 | loss=0.1774 (kge=0.1646 align=0.0025 pseudo=0.0007)
20:46:27 | INFO    | epoch   49/500 | loss=0.1758 (kge=0.1638 align=0.0023 pseudo=0.0009)
20:46:49 | INFO    | epoch   50/500 | loss=0.1744 (kge=0.1634 align=0.0022 pseudo=0.0006) | hard-neg refreshed | bootstrap: 4001 pseudo-pairs (beta=0.4)
20:46:49 | INFO    |            [l2r] MRR=0.6834 Hit@1=0.5884 Hit@5=0.8010 Hit@10=0.8490 MR=59.1 | [r2l] MRR=0.6814 Hit@1=0.5874 Hit@5=0.7962 Hit@10=0.8472 MR=56.1 | [avg] MRR=0.6824 Hit@1=0.5879 Hit@5=0.7986 Hit@10=0.8481 MR=57.6
20:46:50 | INFO    |            -> new best MRR=0.6824 (saved model_best.pt)
20:47:13 | INFO    | epoch   51/500 | loss=0.1748 (kge=0.1625 align=0.0018 pseudo=0.0075)
20:47:35 | INFO    | epoch   52/500 | loss=0.1717 (kge=0.1617 align=0.0019 pseudo=0.0007)
20:47:58 | INFO    | epoch   53/500 | loss=0.1705 (kge=0.1607 align=0.0019 pseudo=0.0006)
20:48:21 | INFO    | epoch   54/500 | loss=0.1697 (kge=0.1594 align=0.0020 pseudo=0.0006)
20:48:44 | INFO    | epoch   55/500 | loss=0.1691 (kge=0.1588 align=0.0020 pseudo=0.0007) | hard-neg refreshed | bootstrap: 4218 pseudo-pairs (beta=0.4)
20:49:05 | INFO    | epoch   56/500 | loss=0.1713 (kge=0.1589 align=0.0020 pseudo=0.0065)
20:49:25 | INFO    | epoch   57/500 | loss=0.1686 (kge=0.1588 align=0.0018 pseudo=0.0013)
20:49:46 | INFO    | epoch   58/500 | loss=0.1675 (kge=0.1579 align=0.0018 pseudo=0.0012)
20:50:07 | INFO    | epoch   59/500 | loss=0.1672 (kge=0.1571 align=0.0019 pseudo=0.0014)
20:50:28 | INFO    | epoch   60/500 | loss=0.1659 (kge=0.1563 align=0.0018 pseudo=0.0013) | hard-neg refreshed | bootstrap: 4408 pseudo-pairs (beta=0.4)
20:50:29 | INFO    |            [l2r] MRR=0.6920 Hit@1=0.5997 Hit@5=0.8051 Hit@10=0.8556 MR=58.2 | [r2l] MRR=0.6867 Hit@1=0.5937 Hit@5=0.8013 Hit@10=0.8513 MR=54.4 | [avg] MRR=0.6893 Hit@1=0.5967 Hit@5=0.8032 Hit@10=0.8535 MR=56.3
20:50:30 | INFO    |            -> new best MRR=0.6893 (saved model_best.pt)
20:50:51 | INFO    | epoch   61/500 | loss=0.1683 (kge=0.1562 align=0.0020 pseudo=0.0058)
20:51:13 | INFO    | epoch   62/500 | loss=0.1666 (kge=0.1563 align=0.0020 pseudo=0.0010)
20:51:34 | INFO    | epoch   63/500 | loss=0.1636 (kge=0.1555 align=0.0016 pseudo=0.0007)
20:51:55 | INFO    | epoch   64/500 | loss=0.1629 (kge=0.1546 align=0.0016 pseudo=0.0007)
20:52:17 | INFO    | epoch   65/500 | loss=0.1614 (kge=0.1539 align=0.0015 pseudo=0.0006) | hard-neg refreshed | bootstrap: 4570 pseudo-pairs (beta=0.4)
20:52:39 | INFO    | epoch   66/500 | loss=0.1626 (kge=0.1534 align=0.0015 pseudo=0.0037)
20:53:00 | INFO    | epoch   67/500 | loss=0.1627 (kge=0.1530 align=0.0019 pseudo=0.0007)
20:53:22 | INFO    | epoch   68/500 | loss=0.1612 (kge=0.1528 align=0.0016 pseudo=0.0007)
20:53:44 | INFO    | epoch   69/500 | loss=0.1606 (kge=0.1523 align=0.0016 pseudo=0.0007)
20:54:06 | INFO    | epoch   70/500 | loss=0.1577 (kge=0.1513 align=0.0012 pseudo=0.0005) | hard-neg refreshed | bootstrap: 4676 pseudo-pairs (beta=0.4)
20:54:06 | INFO    |            [l2r] MRR=0.6933 Hit@1=0.6003 Hit@5=0.8068 Hit@10=0.8566 MR=56.8 | [r2l] MRR=0.6905 Hit@1=0.5979 Hit@5=0.8045 Hit@10=0.8548 MR=54.0 | [avg] MRR=0.6919 Hit@1=0.5991 Hit@5=0.8056 Hit@10=0.8557 MR=55.4
20:54:07 | INFO    |            -> new best MRR=0.6919 (saved model_best.pt)
20:54:29 | INFO    | epoch   71/500 | loss=0.1599 (kge=0.1509 align=0.0016 pseudo=0.0029)
20:54:51 | INFO    | epoch   72/500 | loss=0.1595 (kge=0.1506 align=0.0017 pseudo=0.0007)
20:55:13 | INFO    | epoch   73/500 | loss=0.1583 (kge=0.1507 align=0.0015 pseudo=0.0007)
20:55:35 | INFO    | epoch   74/500 | loss=0.1587 (kge=0.1504 align=0.0016 pseudo=0.0007)
20:55:57 | INFO    | epoch   75/500 | loss=0.1583 (kge=0.1504 align=0.0015 pseudo=0.0007) | hard-neg refreshed | bootstrap: 4785 pseudo-pairs (beta=0.4)
20:56:19 | INFO    | epoch   76/500 | loss=0.1593 (kge=0.1500 align=0.0016 pseudo=0.0029)
20:56:42 | INFO    | epoch   77/500 | loss=0.1586 (kge=0.1497 align=0.0017 pseudo=0.0008)
20:57:04 | INFO    | epoch   78/500 | loss=0.1572 (kge=0.1493 align=0.0015 pseudo=0.0007)
20:57:26 | INFO    | epoch   79/500 | loss=0.1566 (kge=0.1490 align=0.0015 pseudo=0.0007)
20:57:48 | INFO    | epoch   80/500 | loss=0.1550 (kge=0.1484 align=0.0013 pseudo=0.0007) | hard-neg refreshed | bootstrap: 4888 pseudo-pairs (beta=0.4)
20:57:49 | INFO    |            [l2r] MRR=0.6987 Hit@1=0.6092 Hit@5=0.8098 Hit@10=0.8570 MR=59.4 | [r2l] MRR=0.6955 Hit@1=0.6052 Hit@5=0.8076 Hit@10=0.8563 MR=56.6 | [avg] MRR=0.6971 Hit@1=0.6072 Hit@5=0.8087 Hit@10=0.8566 MR=58.0
20:57:50 | INFO    |            -> new best MRR=0.6971 (saved model_best.pt)
20:58:12 | INFO    | epoch   81/500 | loss=0.1562 (kge=0.1481 align=0.0014 pseudo=0.0029)
20:58:35 | INFO    | epoch   82/500 | loss=0.1549 (kge=0.1477 align=0.0014 pseudo=0.0006)
20:58:57 | INFO    | epoch   83/500 | loss=0.1555 (kge=0.1475 align=0.0015 pseudo=0.0007)
20:59:20 | INFO    | epoch   84/500 | loss=0.1534 (kge=0.1472 align=0.0012 pseudo=0.0006)
20:59:42 | INFO    | epoch   85/500 | loss=0.1542 (kge=0.1468 align=0.0014 pseudo=0.0005) | hard-neg refreshed | bootstrap: 4977 pseudo-pairs (beta=0.4)
21:00:05 | INFO    | epoch   86/500 | loss=0.1547 (kge=0.1466 align=0.0014 pseudo=0.0024)
21:00:28 | INFO    | epoch   87/500 | loss=0.1539 (kge=0.1465 align=0.0014 pseudo=0.0007)
21:00:50 | INFO    | epoch   88/500 | loss=0.1535 (kge=0.1462 align=0.0014 pseudo=0.0006)
21:01:13 | INFO    | epoch   89/500 | loss=0.1540 (kge=0.1461 align=0.0015 pseudo=0.0006)
21:01:36 | INFO    | epoch   90/500 | loss=0.1529 (kge=0.1460 align=0.0013 pseudo=0.0005) | hard-neg refreshed | bootstrap: 5054 pseudo-pairs (beta=0.4)
21:01:36 | INFO    |            [l2r] MRR=0.7020 Hit@1=0.6133 Hit@5=0.8111 Hit@10=0.8587 MR=56.9 | [r2l] MRR=0.7003 Hit@1=0.6126 Hit@5=0.8092 Hit@10=0.8557 MR=53.1 | [avg] MRR=0.7012 Hit@1=0.6130 Hit@5=0.8102 Hit@10=0.8572 MR=55.0
21:01:37 | INFO    |            -> new best MRR=0.7012 (saved model_best.pt)
21:02:00 | INFO    | epoch   91/500 | loss=0.1529 (kge=0.1455 align=0.0013 pseudo=0.0021)
21:02:23 | INFO    | epoch   92/500 | loss=0.1516 (kge=0.1453 align=0.0012 pseudo=0.0006)
21:02:46 | INFO    | epoch   93/500 | loss=0.1511 (kge=0.1448 align=0.0012 pseudo=0.0006)
21:03:08 | INFO    | epoch   94/500 | loss=0.1508 (kge=0.1445 align=0.0012 pseudo=0.0006)
21:03:31 | INFO    | epoch   95/500 | loss=0.1500 (kge=0.1443 align=0.0011 pseudo=0.0006) | hard-neg refreshed | bootstrap: 5113 pseudo-pairs (beta=0.4)
21:03:54 | INFO    | epoch   96/500 | loss=0.1508 (kge=0.1441 align=0.0012 pseudo=0.0018)
21:04:17 | INFO    | epoch   97/500 | loss=0.1502 (kge=0.1438 align=0.0012 pseudo=0.0005)
21:04:40 | INFO    | epoch   98/500 | loss=0.1519 (kge=0.1439 align=0.0016 pseudo=0.0007)
21:05:03 | INFO    | epoch   99/500 | loss=0.1513 (kge=0.1440 align=0.0014 pseudo=0.0007)
21:05:26 | INFO    | epoch  100/500 | loss=0.1499 (kge=0.1437 align=0.0012 pseudo=0.0005) | hard-neg refreshed | bootstrap: 5163 pseudo-pairs (beta=0.4)
21:05:26 | INFO    |            [l2r] MRR=0.7050 Hit@1=0.6176 Hit@5=0.8126 Hit@10=0.8601 MR=59.0 | [r2l] MRR=0.7018 Hit@1=0.6153 Hit@5=0.8078 Hit@10=0.8582 MR=56.1 | [avg] MRR=0.7034 Hit@1=0.6165 Hit@5=0.8102 Hit@10=0.8591 MR=57.6
21:05:28 | INFO    |            -> new best MRR=0.7034 (saved model_best.pt)
21:05:49 | INFO    | epoch  101/500 | loss=0.1514 (kge=0.1435 align=0.0014 pseudo=0.0023)
21:06:10 | INFO    | epoch  102/500 | loss=0.1494 (kge=0.1432 align=0.0011 pseudo=0.0014)
21:06:32 | INFO    | epoch  103/500 | loss=0.1499 (kge=0.1429 align=0.0012 pseudo=0.0025)
21:06:53 | INFO    | epoch  104/500 | loss=0.1506 (kge=0.1430 align=0.0013 pseudo=0.0022)
21:07:15 | INFO    | epoch  105/500 | loss=0.1499 (kge=0.1431 align=0.0012 pseudo=0.0014) | hard-neg refreshed | bootstrap: 5225 pseudo-pairs (beta=0.4)
21:07:36 | INFO    | epoch  106/500 | loss=0.1497 (kge=0.1430 align=0.0011 pseudo=0.0025)
21:07:57 | INFO    | epoch  107/500 | loss=0.1488 (kge=0.1423 align=0.0012 pseudo=0.0010)
21:08:19 | INFO    | epoch  108/500 | loss=0.1487 (kge=0.1423 align=0.0012 pseudo=0.0010)
21:08:40 | INFO    | epoch  109/500 | loss=0.1483 (kge=0.1416 align=0.0012 pseudo=0.0011)
21:09:02 | INFO    | epoch  110/500 | loss=0.1482 (kge=0.1418 align=0.0012 pseudo=0.0011) | hard-neg refreshed | bootstrap: 5270 pseudo-pairs (beta=0.4)
21:09:02 | INFO    |            [l2r] MRR=0.7042 Hit@1=0.6155 Hit@5=0.8146 Hit@10=0.8616 MR=57.6 | [r2l] MRR=0.7010 Hit@1=0.6145 Hit@5=0.8095 Hit@10=0.8571 MR=54.3 | [avg] MRR=0.7026 Hit@1=0.6150 Hit@5=0.8120 Hit@10=0.8594 MR=55.9
21:09:24 | INFO    | epoch  111/500 | loss=0.1477 (kge=0.1415 align=0.0011 pseudo=0.0018)
21:09:45 | INFO    | epoch  112/500 | loss=0.1478 (kge=0.1416 align=0.0011 pseudo=0.0010)
21:10:06 | INFO    | epoch  113/500 | loss=0.1475 (kge=0.1413 align=0.0011 pseudo=0.0010)
21:10:28 | INFO    | epoch  114/500 | loss=0.1476 (kge=0.1409 align=0.0013 pseudo=0.0009)
21:10:50 | INFO    | epoch  115/500 | loss=0.1474 (kge=0.1412 align=0.0012 pseudo=0.0009) | hard-neg refreshed | bootstrap: 5306 pseudo-pairs (beta=0.4)
21:11:11 | INFO    | epoch  116/500 | loss=0.1462 (kge=0.1410 align=0.0009 pseudo=0.0015)
21:11:33 | INFO    | epoch  117/500 | loss=0.1453 (kge=0.1406 align=0.0009 pseudo=0.0008)
21:11:54 | INFO    | epoch  118/500 | loss=0.1466 (kge=0.1402 align=0.0012 pseudo=0.0009)
21:12:16 | INFO    | epoch  119/500 | loss=0.1465 (kge=0.1404 align=0.0011 pseudo=0.0009)
21:12:38 | INFO    | epoch  120/500 | loss=0.1454 (kge=0.1401 align=0.0010 pseudo=0.0008) | hard-neg refreshed | bootstrap: 5348 pseudo-pairs (beta=0.4)
21:12:38 | INFO    |            [l2r] MRR=0.7062 Hit@1=0.6195 Hit@5=0.8137 Hit@10=0.8627 MR=57.6 | [r2l] MRR=0.7041 Hit@1=0.6185 Hit@5=0.8091 Hit@10=0.8586 MR=56.0 | [avg] MRR=0.7051 Hit@1=0.6190 Hit@5=0.8114 Hit@10=0.8606 MR=56.8
21:12:39 | INFO    |            -> new best MRR=0.7051 (saved model_best.pt)
21:13:01 | INFO    | epoch  121/500 | loss=0.1465 (kge=0.1400 align=0.0012 pseudo=0.0018)
21:13:23 | INFO    | epoch  122/500 | loss=0.1466 (kge=0.1400 align=0.0013 pseudo=0.0008)
