epoch,MRR,Hit@1,Hit@5,Hit@10,MeanRank
10,0.54436194896698,0.4298095256090164,0.6810476183891296,0.7650952339172363,45.24223709106445
20,0.6471894681453705,0.5515238046646118,0.7635714113712311,0.8213333189487457,78.70947265625
30,0.6569932997226715,0.5632857084274292,0.7698095142841339,0.8281428515911102,74.68066787719727
40,0.672490268945694,0.5773333311080933,0.787619024515152,0.8416190147399902,64.66404724121094
50,0.6823990046977997,0.5879047513008118,0.7986190319061279,0.8480952084064484,57.56752395629883
60,0.6893214881420135,0.5967142879962921,0.8032380640506744,0.8534761667251587,56.29657173156738
70,0.6918715536594391,0.5990952253341675,0.8056190609931946,0.8556666672229767,55.420331954956055
80,0.6971175372600555,0.6072380840778351,0.8087142705917358,0.8566190302371979,58.01157188415527
90,0.7011817395687103,0.6129523813724518,0.8101904690265656,0.8571904599666595,55.02423858642578
100,0.7034186124801636,0.6164761781692505,0.8101904690265656,0.8591428399085999,57.58642768859863
110,0.7025986015796661,0.6150000095367432,0.8120476305484772,0.8593809604644775,55.94961929321289
120,0.7051406800746918,0.6190000176429749,0.8114285469055176,0.8606190383434296,56.78495216369629
130,0.707248717546463,0.6216190159320831,0.8128571212291718,0.8599523901939392,57.51942825317383
140,0.7083450555801392,0.6236666440963745,0.8141428530216217,0.8608571290969849,59.33757019042969
150,0.7092354595661163,0.6253809630870819,0.8138571381568909,0.8591428399085999,60.39261817932129
160,0.709843635559082,0.6258571445941925,0.815285712480545,0.8619047403335571,59.713905334472656
170,0.709350049495697,0.6261904537677765,0.8120476007461548,0.8597618937492371,63.09009552001953
180,0.710429310798645,0.6266666650772095,0.8133809268474579,0.8621428608894348,61.23337936401367
190,0.710242360830307,0.6276666522026062,0.8122380971908569,0.8602856993675232,66.44538116455078
200,0.7108360528945923,0.6282857060432434,0.8121904730796814,0.8602857291698456,62.84552192687988
210,0.7107776999473572,0.6288571357727051,0.8115714192390442,0.858428567647934,65.82457160949707
220,0.7091912627220154,0.6279999911785126,0.8095714151859283,0.8568571209907532,69.28223419189453
230,0.7084720134735107,0.627523809671402,0.8064285814762115,0.8565714061260223,67.13704681396484
240,0.7088108062744141,0.6281428337097168,0.8063333034515381,0.8554762005805969,68.01276016235352
250,0.7093769013881683,0.6288571357727051,0.8082857131958008,0.8568094968795776,70.4178581237793
260,0.7083077728748322,0.6277619004249573,0.8074285686016083,0.8553333282470703,68.96676254272461
270,0.7069979310035706,0.6268095076084137,0.8057619035243988,0.8540476262569427,72.15319061279297
280,0.707099050283432,0.6268095076084137,0.805476188659668,0.852476179599762,73.25899887084961
