epoch,loss,kge,align,pseudo
1,2.4690990858390682,1.4112071658744187,0.211578383504081,0.0
2,1.1348222181445262,1.1045103463970247,0.006062374265146915,0.0
3,0.9829487644258093,0.9614766357374973,0.004294426225270832,0.0
4,0.8870546387844398,0.8727840566244282,0.002854116575422193,0.0
5,0.8122329047468843,0.8025584768076413,0.0019348860101881208,0.0
6,0.7461878471687192,0.7407344208389032,0.001090685934301649,0.0
7,0.6889863063077457,0.6856090680497592,0.0006754475623773808,0.0
8,0.6392145049376566,0.6355357414386311,0.0007357528219934645,0.0
9,0.5967155646105282,0.5918338875301549,0.0009763355864990564,0.0
10,0.56021000615886,0.5534354389690962,0.001354914295990936,0.0
11,1.1777208789450224,0.8110315789941882,0.07333786055812093,0.0
12,0.973352382417585,0.8567191977969936,0.023326636750067842,0.0
13,0.928595880993077,0.842755491616296,0.017168078953247578,0.0
14,0.9056074033018018,0.8302716769155909,0.015067145365794173,0.0
15,0.8913994753947023,0.8209571682038854,0.014088461465645031,0.0
16,0.9315040209254281,0.8441406058483436,0.017472683154351888,0.0
17,0.894990828193602,0.8294560371852312,0.013106957948232283,0.0
18,0.8828408522684066,0.8167346803868403,0.01322123460990728,0.0
19,0.8706151110226991,0.8075777126140282,0.012607480345874047,0.0
20,0.8593515216327104,0.800293749473134,0.01181155456168974,0.0
21,0.9396053843200207,0.8332405515015125,0.014132915914524346,0.035700251508751536
22,0.8757856823503971,0.8174463346600532,0.011453093326417729,0.0010738832141214516
23,0.8619505576789379,0.8088171504437923,0.010420989274280146,0.0010284664829669054
24,0.8545151092112064,0.8030567727982998,0.010077559918863698,0.0010705389649956487
25,0.8487934753298759,0.7985915079712868,0.00983681989600882,0.0010178709744650405
26,0.8767485653652864,0.8134398979299209,0.011141531328287194,0.0076010109644437975
27,0.8542336737408357,0.8048298050375545,0.009633519519668291,0.0012362734051695203
28,0.8472806046990787,0.7995006098466761,0.009307828548309558,0.0012408527600414614
29,0.8435843257343068,0.7960610761361964,0.00924245632965775,0.0013109668835942798
30,0.8400547413265004,0.7933950122664957,0.009085397189483046,0.0012327464359045467
31,0.8595719371329654,0.8054895096204497,0.009991422528401017,0.00412531433605843
32,0.8448008251461115,0.7992998625744473,0.008818857170726087,0.0014066743090304292
33,0.8381334766745567,0.7951493385163221,0.008331189651719549,0.001328192554700019
34,0.8360164273868907,0.7920176894827322,0.008531465951818973,0.0013414076317779043
35,0.834050824019042,0.7900488843972032,0.008527625704036009,0.0013638159395089713
36,0.8493392942996507,0.7996278063634809,0.00931603344042231,0.003131320560743425
37,0.83619737223293,0.7944288153326913,0.008076136905616253,0.0013878756605632855
38,0.8314177159512981,0.7908852997790562,0.00782152015736766,0.0014248158065916113
39,0.8319383544868297,0.7883950786644154,0.008398740889839409,0.0015495695589696256
40,0.8286992626243763,0.7868781042902657,0.008090557190432642,0.0013683679071516636
41,0.8435841268963284,0.7953004631731245,0.008987179072573782,0.0033477700121390323
42,0.8328819963667128,0.790788451830546,0.008033453383379512,0.0019262757553305063
43,0.8309918701648712,0.7883290833897061,0.008080326737318603,0.002261150458879355
44,0.8297600448131561,0.7866939617527856,0.008138513919483456,0.0023735092758821945
45,0.8260679344336191,0.7851764116022322,0.007750939458815588,0.0021368240252033705
46,0.8382790992548178,0.7928407061231005,0.008560179937426205,0.0026374882583475702
47,0.8275207556211032,0.7882868614825573,0.007471131155738137,0.0018782394421338053
48,0.8256082855738126,0.7855601068381425,0.007649276410690048,0.0018018000800121617
49,0.8239342170757252,0.7838501583088885,0.007671569182363513,0.0017262126042783916
50,0.823366560123779,0.7823649900300162,0.007823452535136551,0.0018843102171648663
51,0.8331438368493385,0.7900184785926735,0.008186063790632473,0.002195038979842358
52,0.8270585294608231,0.7860649142946515,0.007880657675911437,0.0015903292102278672
53,0.8243858408141922,0.7842060242380414,0.007700238448496048,0.0016786196629854514
54,0.8216930503373617,0.782313849899795,0.0075211528801246656,0.0017734386198284043
55,0.8196420518906562,0.7806210688182286,0.007475938752887177,0.0016412890220705706
56,0.8286094989465631,0.7872017356364623,0.00786716956898327,0.002071910050606517
