04:26:49 | INFO    | Model: bootea | Device: cuda
04:26:50 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
04:26:52 | INFO    | Params: 12.60M
04:26:52 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/bootea_zh_en_0_3_20260718-042649
04:26:52 | INFO    | Device: cuda:0 | entities=38960 relations=3024 base_triples=165556 triples(+seed-swap)=246959 seed_pairs=4500 test_pairs=10500
04:27:51 | INFO    | epoch   36/500 | loss=0.8493 (kge=0.7996 align=0.0093 pseudo=0.0031)
04:27:53 | INFO    | epoch   37/500 | loss=0.8362 (kge=0.7944 align=0.0081 pseudo=0.0014)
04:27:56 | INFO    | epoch   38/500 | loss=0.8314 (kge=0.7909 align=0.0078 pseudo=0.0014)
04:27:58 | INFO    | epoch   39/500 | loss=0.8319 (kge=0.7884 align=0.0084 pseudo=0.0015)
04:28:00 | INFO    | epoch   40/500 | loss=0.8287 (kge=0.7869 align=0.0081 pseudo=0.0014) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6210 pseudo-pairs (beta=1.0)
04:28:00 | INFO    |            [l2r] MRR=0.6231 Hit@1=0.5022 Hit@5=0.7742 Hit@10=0.8459 MR=50.8 | [r2l] MRR=0.6153 Hit@1=0.4980 Hit@5=0.7594 Hit@10=0.8274 MR=43.4 | [avg] MRR=0.6192 Hit@1=0.5001 Hit@5=0.7668 Hit@10=0.8367 MR=47.1
04:28:01 | INFO    |            -> new best MRR=0.6192 (saved model_best.pt)
04:28:03 | INFO    | epoch   41/500 | loss=0.8436 (kge=0.7953 align=0.0090 pseudo=0.0033)
04:28:05 | INFO    | epoch   42/500 | loss=0.8329 (kge=0.7908 align=0.0080 pseudo=0.0019)
04:28:07 | INFO    | epoch   43/500 | loss=0.8310 (kge=0.7883 align=0.0081 pseudo=0.0023)
04:28:10 | INFO    | epoch   44/500 | loss=0.8298 (kge=0.7867 align=0.0081 pseudo=0.0024)
04:28:12 | INFO    | epoch   45/500 | loss=0.8261 (kge=0.7852 align=0.0078 pseudo=0.0021) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6371 pseudo-pairs (beta=1.0)
04:28:14 | INFO    | epoch   46/500 | loss=0.8383 (kge=0.7928 align=0.0086 pseudo=0.0026)
04:28:17 | INFO    | epoch   47/500 | loss=0.8275 (kge=0.7883 align=0.0075 pseudo=0.0019)
04:28:19 | INFO    | epoch   48/500 | loss=0.8256 (kge=0.7856 align=0.0076 pseudo=0.0018)
04:28:21 | INFO    | epoch   49/500 | loss=0.8239 (kge=0.7839 align=0.0077 pseudo=0.0017)
04:28:24 | INFO    | epoch   50/500 | loss=0.8234 (kge=0.7824 align=0.0078 pseudo=0.0019) | hard-neg refreshed | eps-trunc refreshed | bootstrap: 6488 pseudo-pairs (beta=1.0)
04:28:24 | INFO    |            [l2r] MRR=0.6349 Hit@1=0.5178 Hit@5=0.7789 Hit@10=0.8493 MR=45.5 | [r2l] MRR=0.6273 Hit@1=0.5123 Hit@5=0.7683 Hit@10=0.8379 MR=38.1 | [avg] MRR=0.6311 Hit@1=0.5150 Hit@5=0.7736 Hit@10=0.8436 MR=41.8
04:28:24 | INFO    |            -> new best MRR=0.6311 (saved model_best.pt)
