epoch,MRR,Hit@1,Hit@5,Hit@10,MeanRank
300,0.7773281931877136,0.690666675567627,0.8889047503471375,0.9294761717319489,11.914856910705566
epoch,MRR,Hit@1,Hit@5,Hit@10,MeanRank
300,0.7768438756465912,0.68857142329216,0.8874285817146301,0.9300000071525574,10.72776174545288
600,0.7890094220638275,0.7074761688709259,0.8934761881828308,0.9324285686016083,13.045428276062012
600,0.7886091768741608,0.7054761648178101,0.8945714235305786,0.9325238168239594,13.537857055664062
900,0.7913312911987305,0.709714263677597,0.8943333327770233,0.9316190481185913,13.797714233398438
900,0.7908253073692322,0.7089999914169312,0.8943333327770233,0.9334761798381805,13.769952297210693
1200,0.7947379052639008,0.7159999907016754,0.8935714066028595,0.9315237998962402,15.020476341247559
1200,0.795604795217514,0.7167618870735168,0.8949999809265137,0.9321428537368774,14.859714031219482
