epoch,loss,align,rel
1,1.8027256727218628,1.0009241104125977,0.8018015623092651
2,1.7311058044433594,0.9520443677902222,0.7790613770484924
3,1.6505489349365234,0.8984943628311157,0.7520545721054077
4,1.5562307834625244,0.8387007713317871,0.7175300717353821
5,1.4403774738311768,0.7705365419387817,0.6698409914970398
6,1.3007372617721558,0.6906110048294067,0.610126256942749
7,1.140902042388916,0.5991491079330444,0.5417529344558716
8,0.9630465507507324,0.4978834390640259,0.46516308188438416
9,0.7968956232070923,0.4002378582954407,0.396657794713974
10,0.6722000241279602,0.3243255317211151,0.3478744924068451
11,0.592678427696228,0.27517473697662354,0.3175036609172821
12,0.5415679216384888,0.24369876086711884,0.29786914587020874
13,0.49825742840766907,0.21972084045410156,0.2785365879535675
14,0.46368080377578735,0.2004835307598114,0.26319727301597595
15,0.4406925439834595,0.18767999112606049,0.2530125379562378
16,0.41490769386291504,0.17445334792137146,0.24045434594154358
17,0.3926299214363098,0.1631760150194168,0.229453906416893
18,0.37823617458343506,0.15385180711746216,0.2243843674659729
19,0.35511311888694763,0.144597589969635,0.21051552891731262
20,0.3459332585334778,0.13843822479248047,0.20749501883983612
21,0.326870858669281,0.13167159259319305,0.19519928097724915
22,0.3219103217124939,0.12590844929218292,0.19600187242031097
23,0.30940964818000793,0.12233727425336838,0.18707236647605896
24,0.3000704050064087,0.11858758330345154,0.18148283660411835
25,0.2945708632469177,0.11529657244682312,0.1792742758989334
26,0.2833714485168457,0.11125299334526062,0.1721184402704239
27,0.28043991327285767,0.10883364081382751,0.17160628736019135
28,0.2742590308189392,0.10578657686710358,0.16847245395183563
29,0.26317501068115234,0.10057711601257324,0.1625978946685791
30,0.2540532350540161,0.09781741350889206,0.15623581409454346
31,0.24892815947532654,0.0954008623957634,0.15352728962898254
32,0.24661614000797272,0.09231452643871307,0.15430161356925964
33,0.2395496368408203,0.08907286822795868,0.15047676861286163
34,0.22997286915779114,0.08682990074157715,0.143142968416214
35,0.22736024856567383,0.08440002799034119,0.14296022057533264
36,0.2245674580335617,0.08249965310096741,0.1420678049325943
37,0.21755939722061157,0.08062402904033661,0.13693536818027496
38,0.21241094172000885,0.0785554051399231,0.13385553658008575
39,0.21126693487167358,0.07703788578510284,0.13422904908657074
40,0.20571987330913544,0.07538115978240967,0.13033871352672577
41,0.20398859679698944,0.07426498830318451,0.12972360849380493
42,0.2023029327392578,0.07291113585233688,0.12939180433750153
43,0.20020823180675507,0.07182276248931885,0.12838546931743622
44,0.197332501411438,0.07054837048053741,0.12678413093090057
45,0.19306018948554993,0.06885085999965668,0.12420932203531265
46,0.1921839714050293,0.06674668937921524,0.12543727457523346
47,0.18823634088039398,0.06634187698364258,0.1218944638967514
48,0.18621444702148438,0.06484188139438629,0.12137256562709808
49,0.18149486184120178,0.06431987136602402,0.11717499792575836
50,0.18248602747917175,0.06301891058683395,0.1194671094417572
51,0.17991554737091064,0.061588168144226074,0.11832737922668457
52,0.17672130465507507,0.06020515412092209,0.11651615053415298
53,0.17741453647613525,0.059697914868593216,0.11771662533283234
54,0.1706920564174652,0.05831368267536163,0.11237836629152298
55,0.17132028937339783,0.05738060176372528,0.11393969506025314
56,0.17264807224273682,0.057234957814216614,0.1154131218791008
57,0.1691308319568634,0.05613875389099121,0.11299208551645279
58,0.16926653683185577,0.0555293969810009,0.11373714357614517
59,0.16384167969226837,0.05436570942401886,0.10947597026824951
60,0.1646144688129425,0.05377259477972984,0.11084187030792236
61,0.1644662618637085,0.05302882194519043,0.11143744736909866
62,0.16200341284275055,0.052709367126226425,0.10929404199123383
63,0.16293707489967346,0.05153248459100723,0.11140459775924683
64,0.15848954021930695,0.05096486955881119,0.10752467066049576
65,0.15942662954330444,0.05024918541312218,0.10917744040489197
66,0.15734650194644928,0.049819305539131165,0.10752719640731812
67,0.15601599216461182,0.04948614537715912,0.1065298542380333
68,0.15479323267936707,0.048857033252716064,0.1059361919760704
69,0.15281593799591064,0.04802459478378296,0.10479134321212769
70,0.15185289084911346,0.04800990968942642,0.10384298115968704
71,0.15161094069480896,0.04675564542412758,0.10485529154539108
72,0.1508065015077591,0.046552445739507675,0.10425405204296112
73,0.14815157651901245,0.04652601480484009,0.10162556171417236
74,0.1493106186389923,0.04579996317625046,0.10351066291332245
75,0.14823895692825317,0.04513616859912872,0.10310278087854385
76,0.14707565307617188,0.044974178075790405,0.10210148245096207
77,0.1488749384880066,0.043913908302783966,0.10496103018522263
78,0.14375895261764526,0.04425385221838951,0.09950509667396545
79,0.14146335422992706,0.043384406715631485,0.09807894378900528
80,0.1451002061367035,0.042559877038002014,0.10254032909870148
81,0.14328405261039734,0.04267634451389313,0.10060770064592361
82,0.14395147562026978,0.042297959327697754,0.10165351629257202
83,0.1439657062292099,0.04189653322100639,0.1020691767334938
84,0.13958212733268738,0.04132743179798126,0.09825469553470612
85,0.13778765499591827,0.0409090593457222,0.09687859565019608
86,0.1386866271495819,0.04056467115879059,0.09812195599079132
87,0.13808830082416534,0.04050319641828537,0.09758510440587997
88,0.13806185126304626,0.039930619299411774,0.0981312245130539
