20:02:39 | INFO    | Model: alinet | Device: cuda
20:02:39 | INFO    | Data: {'lang': 'zh_en', 'fold': '0_3', 'num_entities': 38960, 'num_relations': 3024, '|KG1 ents|': 19388, '|KG2 ents|': 19572, '|KG1 triples|': 70414, '|KG2 triples|': 95142, 'train_pairs': 4500, 'test_pairs': 10500}
20:02:56 | INFO    | Params: 24.01M
20:02:56 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/alinet_zh_en_0_3_20260718-200239
20:02:56 | INFO    | Device: cuda:0 | entities=38960 2hop_edges=1354509 rep_dim=1000 seed_pairs=4500 test_pairs=10500
20:04:08 | INFO    |            [l2r] MRR=0.5613 Hit@1=0.4507 Hit@5=0.6951 Hit@10=0.7737 MR=92.8 | [r2l] MRR=0.5560 Hit@1=0.4459 Hit@5=0.6880 Hit@10=0.7642 MR=88.7 | [avg] MRR=0.5587 Hit@1=0.4483 Hit@5=0.6916 Hit@10=0.7690 MR=90.8
20:04:11 | INFO    |            -> new best MRR=0.5587 (saved model_best.pt)
20:04:15 | INFO    | epoch  260/3000 | loss=0.2863 | hard-neg refreshed
20:04:15 | INFO    |            [l2r] MRR=0.5680 Hit@1=0.4567 Hit@5=0.7043 Hit@10=0.7787 MR=90.4 | [r2l] MRR=0.5650 Hit@1=0.4554 Hit@5=0.6983 Hit@10=0.7734 MR=85.6 | [avg] MRR=0.5665 Hit@1=0.4560 Hit@5=0.7013 Hit@10=0.7760 MR=88.0
20:04:17 | INFO    |            -> new best MRR=0.5665 (saved model_best.pt)
20:04:20 | INFO    | epoch  280/3000 | loss=0.2736 | hard-neg refreshed
20:04:21 | INFO    |            [l2r] MRR=0.5745 Hit@1=0.4639 Hit@5=0.7108 Hit@10=0.7870 MR=88.6 | [r2l] MRR=0.5731 Hit@1=0.4644 Hit@5=0.7054 Hit@10=0.7795 MR=83.8 | [avg] MRR=0.5738 Hit@1=0.4641 Hit@5=0.7081 Hit@10=0.7832 MR=86.2
20:04:23 | INFO    |            -> new best MRR=0.5738 (saved model_best.pt)
20:04:27 | INFO    | epoch  300/3000 | loss=0.2660 | hard-neg refreshed
20:04:27 | INFO    |            [l2r] MRR=0.5799 Hit@1=0.4696 Hit@5=0.7167 Hit@10=0.7891 MR=89.1 | [r2l] MRR=0.5767 Hit@1=0.4667 Hit@5=0.7115 Hit@10=0.7845 MR=83.9 | [avg] MRR=0.5783 Hit@1=0.4681 Hit@5=0.7141 Hit@10=0.7868 MR=86.5
20:04:29 | INFO    |            -> new best MRR=0.5783 (saved model_best.pt)
20:04:33 | INFO    | epoch  320/3000 | loss=0.2577 | hard-neg refreshed
20:04:33 | INFO    |            [l2r] MRR=0.5855 Hit@1=0.4765 Hit@5=0.7217 Hit@10=0.7907 MR=89.6 | [r2l] MRR=0.5828 Hit@1=0.4739 Hit@5=0.7207 Hit@10=0.7888 MR=84.4 | [avg] MRR=0.5842 Hit@1=0.4752 Hit@5=0.7212 Hit@10=0.7897 MR=87.0
20:04:35 | INFO    |            -> new best MRR=0.5842 (saved model_best.pt)
20:04:39 | INFO    | epoch  340/3000 | loss=0.2487 | hard-neg refreshed
20:04:39 | INFO    |            [l2r] MRR=0.5877 Hit@1=0.4783 Hit@5=0.7230 Hit@10=0.7952 MR=89.5 | [r2l] MRR=0.5850 Hit@1=0.4757 Hit@5=0.7196 Hit@10=0.7916 MR=84.5 | [avg] MRR=0.5863 Hit@1=0.4770 Hit@5=0.7213 Hit@10=0.7934 MR=87.0
20:04:41 | INFO    |            -> new best MRR=0.5863 (saved model_best.pt)
20:04:44 | INFO    | epoch  360/3000 | loss=0.2423 | hard-neg refreshed
20:04:44 | INFO    |            [l2r] MRR=0.5928 Hit@1=0.4834 Hit@5=0.7277 Hit@10=0.8005 MR=84.1 | [r2l] MRR=0.5906 Hit@1=0.4817 Hit@5=0.7231 Hit@10=0.7936 MR=79.3 | [avg] MRR=0.5917 Hit@1=0.4826 Hit@5=0.7254 Hit@10=0.7970 MR=81.7
20:04:47 | INFO    |            -> new best MRR=0.5917 (saved model_best.pt)
20:04:50 | INFO    | epoch  380/3000 | loss=0.2392 | hard-neg refreshed
20:04:50 | INFO    |            [l2r] MRR=0.5934 Hit@1=0.4833 Hit@5=0.7311 Hit@10=0.8022 MR=84.2 | [r2l] MRR=0.5921 Hit@1=0.4830 Hit@5=0.7255 Hit@10=0.7981 MR=79.7 | [avg] MRR=0.5928 Hit@1=0.4831 Hit@5=0.7283 Hit@10=0.8001 MR=81.9
20:04:52 | INFO    |            -> new best MRR=0.5928 (saved model_best.pt)
20:04:56 | INFO    | epoch  400/3000 | loss=0.2309 | hard-neg refreshed
20:04:56 | INFO    |            [l2r] MRR=0.5960 Hit@1=0.4863 Hit@5=0.7324 Hit@10=0.8037 MR=84.3 | [r2l] MRR=0.5959 Hit@1=0.4877 Hit@5=0.7296 Hit@10=0.8002 MR=79.7 | [avg] MRR=0.5959 Hit@1=0.4870 Hit@5=0.7310 Hit@10=0.8020 MR=82.0
20:04:59 | INFO    |            -> new best MRR=0.5959 (saved model_best.pt)
20:05:03 | INFO    | epoch  420/3000 | loss=0.2256 | hard-neg refreshed
20:05:03 | INFO    |            [l2r] MRR=0.5982 Hit@1=0.4883 Hit@5=0.7349 Hit@10=0.8035 MR=83.9 | [r2l] MRR=0.5969 Hit@1=0.4870 Hit@5=0.7324 Hit@10=0.8027 MR=79.8 | [avg] MRR=0.5976 Hit@1=0.4876 Hit@5=0.7336 Hit@10=0.8031 MR=81.9
20:05:05 | INFO    |            -> new best MRR=0.5976 (saved model_best.pt)
20:05:08 | INFO    | epoch  440/3000 | loss=0.2221 | hard-neg refreshed
20:05:08 | INFO    |            [l2r] MRR=0.5991 Hit@1=0.4884 Hit@5=0.7381 Hit@10=0.8043 MR=87.4 | [r2l] MRR=0.5999 Hit@1=0.4916 Hit@5=0.7339 Hit@10=0.8037 MR=83.2 | [avg] MRR=0.5995 Hit@1=0.4900 Hit@5=0.7360 Hit@10=0.8040 MR=85.3
20:05:10 | INFO    |            -> new best MRR=0.5995 (saved model_best.pt)
20:05:14 | INFO    | epoch  460/3000 | loss=0.2165 | hard-neg refreshed
20:05:14 | INFO    |            [l2r] MRR=0.6025 Hit@1=0.4933 Hit@5=0.7420 Hit@10=0.8078 MR=85.4 | [r2l] MRR=0.6029 Hit@1=0.4961 Hit@5=0.7361 Hit@10=0.8049 MR=81.3 | [avg] MRR=0.6027 Hit@1=0.4947 Hit@5=0.7390 Hit@10=0.8063 MR=83.3
20:05:16 | INFO    |            -> new best MRR=0.6027 (saved model_best.pt)
20:05:20 | INFO    | epoch  480/3000 | loss=0.2134 | hard-neg refreshed
20:05:20 | INFO    |            [l2r] MRR=0.6059 Hit@1=0.4978 Hit@5=0.7417 Hit@10=0.8085 MR=84.5 | [r2l] MRR=0.6030 Hit@1=0.4962 Hit@5=0.7375 Hit@10=0.8055 MR=80.9 | [avg] MRR=0.6045 Hit@1=0.4970 Hit@5=0.7396 Hit@10=0.8070 MR=82.7
20:05:22 | INFO    |            -> new best MRR=0.6045 (saved model_best.pt)
20:05:26 | INFO    | epoch  500/3000 | loss=0.2113 | hard-neg refreshed
20:05:26 | INFO    |            [l2r] MRR=0.6051 Hit@1=0.4966 Hit@5=0.7411 Hit@10=0.8077 MR=84.9 | [r2l] MRR=0.6043 Hit@1=0.4985 Hit@5=0.7359 Hit@10=0.8061 MR=80.6 | [avg] MRR=0.6047 Hit@1=0.4975 Hit@5=0.7385 Hit@10=0.8069 MR=82.7
20:05:29 | INFO    |            -> new best MRR=0.6047 (saved model_best.pt)
20:05:33 | INFO    | epoch  520/3000 | loss=0.2108 | hard-neg refreshed
20:05:33 | INFO    |            [l2r] MRR=0.6073 Hit@1=0.4979 Hit@5=0.7436 Hit@10=0.8081 MR=86.2 | [r2l] MRR=0.6047 Hit@1=0.4982 Hit@5=0.7375 Hit@10=0.8047 MR=81.9 | [avg] MRR=0.6060 Hit@1=0.4980 Hit@5=0.7406 Hit@10=0.8064 MR=84.0
20:05:35 | INFO    |            -> new best MRR=0.6060 (saved model_best.pt)
20:05:38 | INFO    | epoch  540/3000 | loss=0.2059 | hard-neg refreshed
20:05:39 | INFO    |            [l2r] MRR=0.6098 Hit@1=0.5011 Hit@5=0.7471 Hit@10=0.8093 MR=85.2 | [r2l] MRR=0.6078 Hit@1=0.5008 Hit@5=0.7415 Hit@10=0.8070 MR=81.2 | [avg] MRR=0.6088 Hit@1=0.5010 Hit@5=0.7443 Hit@10=0.8082 MR=83.2
20:05:41 | INFO    |            -> new best MRR=0.6088 (saved model_best.pt)
20:05:45 | INFO    | epoch  560/3000 | loss=0.2031 | hard-neg refreshed
20:05:45 | INFO    |            [l2r] MRR=0.6089 Hit@1=0.4997 Hit@5=0.7471 Hit@10=0.8089 MR=85.9 | [r2l] MRR=0.6081 Hit@1=0.5018 Hit@5=0.7404 Hit@10=0.8082 MR=82.1 | [avg] MRR=0.6085 Hit@1=0.5008 Hit@5=0.7438 Hit@10=0.8085 MR=84.0
20:05:49 | INFO    | epoch  580/3000 | loss=0.2007 | hard-neg refreshed
20:05:49 | INFO    |            [l2r] MRR=0.6104 Hit@1=0.5018 Hit@5=0.7455 Hit@10=0.8094 MR=84.1 | [r2l] MRR=0.6098 Hit@1=0.5042 Hit@5=0.7396 Hit@10=0.8088 MR=80.6 | [avg] MRR=0.6101 Hit@1=0.5030 Hit@5=0.7426 Hit@10=0.8091 MR=82.3
20:05:52 | INFO    |            -> new best MRR=0.6101 (saved model_best.pt)
20:05:56 | INFO    | epoch  600/3000 | loss=0.1981 | hard-neg refreshed
20:05:56 | INFO    |            [l2r] MRR=0.6107 Hit@1=0.5017 Hit@5=0.7470 Hit@10=0.8110 MR=83.7 | [r2l] MRR=0.6082 Hit@1=0.5023 Hit@5=0.7405 Hit@10=0.8068 MR=79.7 | [avg] MRR=0.6094 Hit@1=0.5020 Hit@5=0.7437 Hit@10=0.8089 MR=81.7
20:06:00 | INFO    | epoch  620/3000 | loss=0.1980 | hard-neg refreshed
20:06:00 | INFO    |            [l2r] MRR=0.6129 Hit@1=0.5050 Hit@5=0.7498 Hit@10=0.8116 MR=83.7 | [r2l] MRR=0.6084 Hit@1=0.5006 Hit@5=0.7419 Hit@10=0.8077 MR=80.3 | [avg] MRR=0.6107 Hit@1=0.5028 Hit@5=0.7459 Hit@10=0.8097 MR=82.0
20:06:02 | INFO    |            -> new best MRR=0.6107 (saved model_best.pt)
20:06:06 | INFO    | epoch  640/3000 | loss=0.1936 | hard-neg refreshed
20:06:06 | INFO    |            [l2r] MRR=0.6136 Hit@1=0.5056 Hit@5=0.7497 Hit@10=0.8117 MR=83.7 | [r2l] MRR=0.6114 Hit@1=0.5050 Hit@5=0.7427 Hit@10=0.8093 MR=80.2 | [avg] MRR=0.6125 Hit@1=0.5053 Hit@5=0.7462 Hit@10=0.8105 MR=81.9
20:06:09 | INFO    |            -> new best MRR=0.6125 (saved model_best.pt)
20:06:13 | INFO    | epoch  660/3000 | loss=0.1928 | hard-neg refreshed
20:06:13 | INFO    |            [l2r] MRR=0.6146 Hit@1=0.5070 Hit@5=0.7514 Hit@10=0.8112 MR=83.0 | [r2l] MRR=0.6114 Hit@1=0.5047 Hit@5=0.7423 Hit@10=0.8092 MR=79.0 | [avg] MRR=0.6130 Hit@1=0.5058 Hit@5=0.7469 Hit@10=0.8102 MR=81.0
20:06:15 | INFO    |            -> new best MRR=0.6130 (saved model_best.pt)
20:06:19 | INFO    | epoch  680/3000 | loss=0.1920 | hard-neg refreshed
20:06:19 | INFO    |            [l2r] MRR=0.6144 Hit@1=0.5074 Hit@5=0.7515 Hit@10=0.8108 MR=84.6 | [r2l] MRR=0.6106 Hit@1=0.5036 Hit@5=0.7437 Hit@10=0.8090 MR=80.4 | [avg] MRR=0.6125 Hit@1=0.5055 Hit@5=0.7476 Hit@10=0.8099 MR=82.5
20:06:23 | INFO    | epoch  700/3000 | loss=0.1889 | hard-neg refreshed
20:06:23 | INFO    |            [l2r] MRR=0.6139 Hit@1=0.5065 Hit@5=0.7492 Hit@10=0.8113 MR=83.5 | [r2l] MRR=0.6111 Hit@1=0.5049 Hit@5=0.7440 Hit@10=0.8082 MR=79.1 | [avg] MRR=0.6125 Hit@1=0.5057 Hit@5=0.7466 Hit@10=0.8098 MR=81.3
20:06:27 | INFO    | epoch  720/3000 | loss=0.1900 | hard-neg refreshed
20:06:27 | INFO    |            [l2r] MRR=0.6154 Hit@1=0.5090 Hit@5=0.7492 Hit@10=0.8119 MR=83.1 | [r2l] MRR=0.6120 Hit@1=0.5058 Hit@5=0.7460 Hit@10=0.8073 MR=78.3 | [avg] MRR=0.6137 Hit@1=0.5074 Hit@5=0.7476 Hit@10=0.8096 MR=80.7
20:06:30 | INFO    |            -> new best MRR=0.6137 (saved model_best.pt)
20:06:34 | INFO    | epoch  740/3000 | loss=0.1877 | hard-neg refreshed
20:06:34 | INFO    |            [l2r] MRR=0.6141 Hit@1=0.5067 Hit@5=0.7525 Hit@10=0.8121 MR=82.9 | [r2l] MRR=0.6117 Hit@1=0.5050 Hit@5=0.7463 Hit@10=0.8080 MR=78.7 | [avg] MRR=0.6129 Hit@1=0.5058 Hit@5=0.7494 Hit@10=0.8100 MR=80.8
20:06:38 | INFO    | epoch  760/3000 | loss=0.1878 | hard-neg refreshed
20:06:38 | INFO    |            [l2r] MRR=0.6134 Hit@1=0.5056 Hit@5=0.7498 Hit@10=0.8101 MR=84.8 | [r2l] MRR=0.6116 Hit@1=0.5052 Hit@5=0.7442 Hit@10=0.8062 MR=80.4 | [avg] MRR=0.6125 Hit@1=0.5054 Hit@5=0.7470 Hit@10=0.8081 MR=82.6
20:06:42 | INFO    | epoch  780/3000 | loss=0.1833 | hard-neg refreshed
20:06:42 | INFO    |            [l2r] MRR=0.6158 Hit@1=0.5096 Hit@5=0.7493 Hit@10=0.8115 MR=84.7 | [r2l] MRR=0.6122 Hit@1=0.5056 Hit@5=0.7448 Hit@10=0.8080 MR=80.0 | [avg] MRR=0.6140 Hit@1=0.5076 Hit@5=0.7470 Hit@10=0.8098 MR=82.3
20:06:45 | INFO    |            -> new best MRR=0.6140 (saved model_best.pt)
20:06:49 | INFO    | epoch  800/3000 | loss=0.1831 | hard-neg refreshed
20:06:49 | INFO    |            [l2r] MRR=0.6168 Hit@1=0.5108 Hit@5=0.7508 Hit@10=0.8099 MR=84.3 | [r2l] MRR=0.6145 Hit@1=0.5090 Hit@5=0.7478 Hit@10=0.8085 MR=79.7 | [avg] MRR=0.6157 Hit@1=0.5099 Hit@5=0.7493 Hit@10=0.8092 MR=82.0
20:06:52 | INFO    |            -> new best MRR=0.6157 (saved model_best.pt)
20:06:55 | INFO    | epoch  820/3000 | loss=0.1780 | hard-neg refreshed
20:06:55 | INFO    |            [l2r] MRR=0.6159 Hit@1=0.5092 Hit@5=0.7498 Hit@10=0.8102 MR=85.3 | [r2l] MRR=0.6142 Hit@1=0.5084 Hit@5=0.7470 Hit@10=0.8073 MR=81.2 | [avg] MRR=0.6150 Hit@1=0.5088 Hit@5=0.7484 Hit@10=0.8088 MR=83.2
20:06:59 | INFO    | epoch  840/3000 | loss=0.1772 | hard-neg refreshed
20:06:59 | INFO    |            [l2r] MRR=0.6163 Hit@1=0.5107 Hit@5=0.7477 Hit@10=0.8098 MR=83.3 | [r2l] MRR=0.6146 Hit@1=0.5091 Hit@5=0.7469 Hit@10=0.8060 MR=78.9 | [avg] MRR=0.6154 Hit@1=0.5099 Hit@5=0.7473 Hit@10=0.8079 MR=81.1
20:07:03 | INFO    | epoch  860/3000 | loss=0.1767 | hard-neg refreshed
20:07:04 | INFO    |            [l2r] MRR=0.6180 Hit@1=0.5120 Hit@5=0.7502 Hit@10=0.8097 MR=81.5 | [r2l] MRR=0.6152 Hit@1=0.5096 Hit@5=0.7488 Hit@10=0.8093 MR=77.5 | [avg] MRR=0.6166 Hit@1=0.5108 Hit@5=0.7495 Hit@10=0.8095 MR=79.5
20:07:05 | INFO    |            -> new best MRR=0.6166 (saved model_best.pt)
20:07:09 | INFO    | epoch  880/3000 | loss=0.1766 | hard-neg refreshed
20:07:09 | INFO    |            [l2r] MRR=0.6195 Hit@1=0.5143 Hit@5=0.7493 Hit@10=0.8096 MR=83.2 | [r2l] MRR=0.6171 Hit@1=0.5126 Hit@5=0.7500 Hit@10=0.8090 MR=78.2 | [avg] MRR=0.6183 Hit@1=0.5134 Hit@5=0.7497 Hit@10=0.8093 MR=80.7
20:07:12 | INFO    |            -> new best MRR=0.6183 (saved model_best.pt)
20:07:16 | INFO    | epoch  900/3000 | loss=0.1759 | hard-neg refreshed
20:07:16 | INFO    |            [l2r] MRR=0.6184 Hit@1=0.5120 Hit@5=0.7526 Hit@10=0.8119 MR=84.0 | [r2l] MRR=0.6163 Hit@1=0.5099 Hit@5=0.7487 Hit@10=0.8089 MR=78.7 | [avg] MRR=0.6174 Hit@1=0.5110 Hit@5=0.7506 Hit@10=0.8104 MR=81.3
20:07:20 | INFO    | epoch  920/3000 | loss=0.1747 | hard-neg refreshed
20:07:20 | INFO    |            [l2r] MRR=0.6186 Hit@1=0.5121 Hit@5=0.7521 Hit@10=0.8111 MR=83.9 | [r2l] MRR=0.6157 Hit@1=0.5102 Hit@5=0.7480 Hit@10=0.8083 MR=78.4 | [avg] MRR=0.6171 Hit@1=0.5111 Hit@5=0.7500 Hit@10=0.8097 MR=81.1
20:07:24 | INFO    | epoch  940/3000 | loss=0.1719 | hard-neg refreshed
20:07:24 | INFO    |            [l2r] MRR=0.6204 Hit@1=0.5144 Hit@5=0.7520 Hit@10=0.8103 MR=83.7 | [r2l] MRR=0.6174 Hit@1=0.5119 Hit@5=0.7498 Hit@10=0.8090 MR=78.1 | [avg] MRR=0.6189 Hit@1=0.5131 Hit@5=0.7509 Hit@10=0.8097 MR=80.9
20:07:26 | INFO    |            -> new best MRR=0.6189 (saved model_best.pt)
20:07:30 | INFO    | epoch  960/3000 | loss=0.1699 | hard-neg refreshed
20:07:30 | INFO    |            [l2r] MRR=0.6187 Hit@1=0.5116 Hit@5=0.7521 Hit@10=0.8099 MR=84.6 | [r2l] MRR=0.6175 Hit@1=0.5122 Hit@5=0.7489 Hit@10=0.8089 MR=78.4 | [avg] MRR=0.6181 Hit@1=0.5119 Hit@5=0.7505 Hit@10=0.8094 MR=81.5
20:07:34 | INFO    | epoch  980/3000 | loss=0.1693 | hard-neg refreshed
