epoch,Hit@1,Hit@10,MRR
10,0.686,0.8191428571428572,0.7332236766815186
20,0.6961904761904761,0.8296190476190476,0.7430059313774109
30,0.6935238095238095,0.8259047619047619,0.7407352328300476
40,0.6916190476190476,0.8242857142857143,0.7388620972633362
50,0.6908571428571428,0.8225714285714286,0.737710177898407
60,0.6897142857142857,0.8202857142857143,0.736487865447998
70,0.6900952380952381,0.8198095238095238,0.7365001440048218
80,0.6885714285714286,0.8182857142857143,0.7350718975067139
90,0.6886666666666666,0.8167619047619048,0.7349023222923279
100,0.6881904761904762,0.8158095238095238,0.7342674136161804
101,0.6116190476190476,0.8216190476190476,0.6868771910667419
102,0.6455238095238095,0.816952380952381,0.7057574987411499
103,0.6644761904761904,0.81,0.7155786156654358
104,0.6752380952380952,0.7992380952380952,0.7171812057495117
105,0.6816190476190476,0.796952380952381,0.7201417088508606
106,0.6915238095238095,0.7987619047619048,0.7282128930091858
107,0.693047619047619,0.8011428571428572,0.7296949028968811
108,0.71,0.8054285714285714,0.7417324185371399
109,0.7111428571428572,0.8087619047619048,0.7439899444580078
110,0.7156190476190476,0.813047619047619,0.7488825917243958
111,0.7187619047619047,0.8154285714285714,0.7507076859474182
112,0.7189523809523809,0.8173333333333334,0.7520893812179565
113,0.7200952380952381,0.8185714285714286,0.7532246708869934
114,0.7220952380952381,0.8186666666666667,0.7556326985359192
115,0.725047619047619,0.8174285714285714,0.7571916580200195
116,0.7245714285714285,0.8213333333333334,0.7575269937515259
117,0.7240952380952381,0.8213333333333334,0.7575438618659973
118,0.7298095238095238,0.8244761904761905,0.7619627714157104
119,0.7343809523809524,0.8245714285714286,0.7650889754295349
120,0.736,0.8265714285714286,0.7668715119361877
121,0.7381904761904762,0.8276190476190476,0.7692728638648987
122,0.7378095238095238,0.8274285714285714,0.7688106298446655
123,0.7370476190476191,0.8304761904761905,0.769218921661377
124,0.7397142857142858,0.8302857142857143,0.7707388401031494
125,0.7432380952380953,0.833047619047619,0.7747920155525208
126,0.7449523809523809,0.8337142857142857,0.7752379179000854
127,0.7429523809523809,0.8338095238095238,0.7741414308547974
128,0.7454285714285714,0.8339047619047619,0.7766887545585632
129,0.745904761904762,0.8353333333333334,0.7772986888885498
130,0.7467619047619047,0.8362857142857143,0.7775996923446655
131,0.7467619047619047,0.8357142857142857,0.7778921723365784
132,0.7476190476190476,0.8355238095238096,0.777538001537323
133,0.7477142857142857,0.8365714285714285,0.7789660692214966
134,0.7495238095238095,0.8374285714285714,0.7795636057853699
135,0.7476190476190476,0.8367619047619047,0.778401255607605
136,0.7475238095238095,0.8366666666666667,0.7787164449691772
137,0.7491428571428571,0.8344761904761905,0.7794255614280701
138,0.7501904761904762,0.8346666666666667,0.7795478105545044
139,0.7476190476190476,0.8357142857142857,0.7783239483833313
140,0.7494285714285714,0.8352380952380952,0.7797824144363403
141,0.7485714285714286,0.8341904761904761,0.7787113189697266
142,0.7481904761904762,0.834952380952381,0.778755784034729
143,0.7479047619047619,0.8359047619047619,0.7791698575019836
144,0.7492380952380953,0.8357142857142857,0.7803208827972412
145,0.7482857142857143,0.8378095238095238,0.7792922258377075
146,0.7508571428571429,0.8371428571428572,0.7813474535942078
147,0.7502857142857143,0.8363809523809523,0.7805686593055725
148,0.7502857142857143,0.8372380952380952,0.7810752987861633
149,0.7484761904761905,0.8352380952380952,0.7793969511985779
150,0.7503809523809524,0.8377142857142857,0.7813894748687744
151,0.7502857142857143,0.837047619047619,0.7808026075363159
152,0.7501904761904762,0.8371428571428572,0.7807456254959106
153,0.7507619047619047,0.8379047619047619,0.7816043496131897
154,0.752,0.8377142857142857,0.782629668712616
155,0.7503809523809524,0.8388571428571429,0.7817899584770203
156,0.7507619047619047,0.8379047619047619,0.7816619873046875
157,0.7551428571428571,0.8383809523809523,0.7845489978790283
158,0.7522857142857143,0.8385714285714285,0.782664954662323
159,0.7519047619047619,0.838,0.7828676700592041
160,0.7532380952380953,0.8377142857142857,0.7835191488265991
161,0.7522857142857143,0.8386666666666667,0.7826437950134277
162,0.7510476190476191,0.8375238095238096,0.7813233733177185
163,0.7512380952380953,0.8374285714285714,0.7822962999343872
164,0.7533333333333333,0.8385714285714285,0.783200204372406
165,0.7550476190476191,0.8375238095238096,0.7840621471405029
166,0.75,0.8382857142857143,0.7817689776420593
167,0.7512380952380953,0.8376190476190476,0.7820649743080139
168,0.7550476190476191,0.8376190476190476,0.7837825417518616
169,0.7503809523809524,0.836,0.7814635038375854
170,0.7528571428571429,0.8383809523809523,0.782866895198822
171,0.7511428571428571,0.8368571428571429,0.781926691532135
172,0.7537142857142857,0.8372380952380952,0.7837166786193848
173,0.7526666666666667,0.8379047619047619,0.7834694981575012
174,0.754,0.8381904761904762,0.7842696905136108
175,0.7529523809523809,0.8372380952380952,0.783244252204895
176,0.7512380952380953,0.8387619047619047,0.7824352383613586
177,0.7522857142857143,0.8371428571428572,0.7830341458320618
178,0.7544761904761905,0.8371428571428572,0.7838711142539978
179,0.7534285714285714,0.8371428571428572,0.7837563157081604
180,0.7542857142857143,0.838,0.784027636051178
181,0.7535238095238095,0.838952380952381,0.7839155197143555
182,0.7503809523809524,0.8381904761904762,0.7818595767021179
183,0.7533333333333333,0.8375238095238096,0.7839428782463074
184,0.7530476190476191,0.8383809523809523,0.7840762734413147
185,0.7528571428571429,0.8387619047619047,0.7838940620422363
186,0.754095238095238,0.8387619047619047,0.7840994000434875
187,0.7525714285714286,0.8396190476190476,0.7835680842399597
188,0.7523809523809524,0.8378095238095238,0.7835158705711365
189,0.7538095238095238,0.8378095238095238,0.784211277961731
190,0.7524761904761905,0.8372380952380952,0.7833824157714844
191,0.7513333333333333,0.837047619047619,0.782257616519928
192,0.7522857142857143,0.8384761904761905,0.7828270196914673
193,0.756095238095238,0.8385714285714285,0.785724401473999
194,0.7526666666666667,0.8383809523809523,0.783177375793457
195,0.7539047619047619,0.8394285714285714,0.7839118242263794
196,0.754095238095238,0.8393333333333334,0.7842812538146973
197,0.7556190476190476,0.8385714285714285,0.7849263548851013
198,0.7544761904761905,0.8382857142857143,0.7846564054489136
199,0.7520952380952381,0.8372380952380952,0.7826573848724365
