20:28:24 | INFO    | Model: dgmc | Device: cuda
20:28:30 | INFO    | Data: {'pair': 'zh_en', 'num_features': 300, '|src nodes|': 19388, '|tgt nodes|': 19572, '|src edges|': 70414, '|tgt edges|': 95142, 'train_y': 4500, 'test_y': 10500}
20:28:33 | INFO    | Params: 0.91M
20:28:33 | INFO    | Run directory: /home/nzahaf/EntityAlignment-Nexus/experiments/dgmc_zh_en_20260718-202824
20:28:33 | INFO    | Device: cuda:0 | src=19388 tgt=19572 feat=300 train_y=4500 test_y=10500
20:28:33 | INFO    | Phase 1 (1..100): local feature matching (num_steps=0).
20:29:06 | INFO    |            -> new best Hit@1=0.7450 (saved model_best.pt)
20:29:07 | INFO    | epoch  127/300 | loss=0.1198 | Hit@1=0.7430 Hit@10=0.8338 MRR=0.7741
20:29:07 | INFO    | epoch  128/300 | loss=0.0988 | Hit@1=0.7454 Hit@10=0.8339 MRR=0.7767
20:29:08 | INFO    |            -> new best Hit@1=0.7454 (saved model_best.pt)
20:29:08 | INFO    | epoch  129/300 | loss=0.0901 | Hit@1=0.7459 Hit@10=0.8353 MRR=0.7773
20:29:09 | INFO    |            -> new best Hit@1=0.7459 (saved model_best.pt)
20:29:09 | INFO    | epoch  130/300 | loss=0.0827 | Hit@1=0.7468 Hit@10=0.8363 MRR=0.7776
20:29:09 | INFO    |            -> new best Hit@1=0.7468 (saved model_best.pt)
20:29:10 | INFO    | epoch  131/300 | loss=0.0843 | Hit@1=0.7468 Hit@10=0.8357 MRR=0.7779
20:29:11 | INFO    | epoch  132/300 | loss=0.0699 | Hit@1=0.7476 Hit@10=0.8355 MRR=0.7775
20:29:11 | INFO    |            -> new best Hit@1=0.7476 (saved model_best.pt)
20:29:12 | INFO    | epoch  133/300 | loss=0.0782 | Hit@1=0.7477 Hit@10=0.8366 MRR=0.7790
20:29:12 | INFO    |            -> new best Hit@1=0.7477 (saved model_best.pt)
20:29:12 | INFO    | epoch  134/300 | loss=0.0635 | Hit@1=0.7495 Hit@10=0.8374 MRR=0.7796
20:29:13 | INFO    |            -> new best Hit@1=0.7495 (saved model_best.pt)
