epoch,loss,CG,KE
1,3.000133752822876,,3.000133752822876
2,2.9925427436828613,2.9925427436828613,
3,2.731513023376465,,2.731513023376465
4,2.977897882461548,2.977897882461548,
5,2.5317256450653076,,2.5317256450653076
6,2.994418144226074,2.994418144226074,
7,2.374587297439575,,2.374587297439575
8,2.9874753952026367,2.9874753952026367,
9,2.2461116313934326,,2.2461116313934326
10,2.987466335296631,2.987466335296631,
11,2.095822811126709,,2.095822811126709
12,2.9817001819610596,2.9817001819610596,
13,1.8776087760925293,,1.8776087760925293
14,2.9749674797058105,2.9749674797058105,
15,1.5383344888687134,,1.5383344888687134
16,2.9716458320617676,2.9716458320617676,
17,1.1067601442337036,,1.1067601442337036
18,2.966578245162964,2.966578245162964,
19,0.7574476003646851,,0.7574476003646851
20,2.964599609375,2.964599609375,
21,0.5460076332092285,,0.5460076332092285
22,2.962026596069336,2.962026596069336,
23,0.4354943037033081,,0.4354943037033081
24,2.959730625152588,2.959730625152588,
25,0.36662957072257996,,0.36662957072257996
26,2.958292245864868,2.958292245864868,
27,0.31868478655815125,,0.31868478655815125
28,2.956450939178467,2.956450939178467,
29,0.2869747281074524,,0.2869747281074524
30,2.9550607204437256,2.9550607204437256,
31,0.26428893208503723,,0.26428893208503723
32,2.9534826278686523,2.9534826278686523,
33,0.2478211224079132,,0.2478211224079132
34,2.95194411277771,2.95194411277771,
35,0.23023197054862976,,0.23023197054862976
36,2.950733184814453,2.950733184814453,
37,0.2160443216562271,,0.2160443216562271
38,2.94930100440979,2.94930100440979,
39,0.20640715956687927,,0.20640715956687927
40,2.948094367980957,2.948094367980957,
41,0.2000056356191635,,0.2000056356191635
42,2.946753978729248,2.946753978729248,
43,0.19350604712963104,,0.19350604712963104
44,2.9454407691955566,2.9454407691955566,
45,0.18369804322719574,,0.18369804322719574
46,2.9443373680114746,2.9443373680114746,
47,0.17707400023937225,,0.17707400023937225
48,2.943063497543335,2.943063497543335,
49,0.17219708859920502,,0.17219708859920502
50,2.941964626312256,2.941964626312256,
51,0.16699984669685364,,0.16699984669685364
52,2.9407906532287598,2.9407906532287598,
53,0.16378818452358246,,0.16378818452358246
54,2.939603328704834,2.939603328704834,
55,0.15830160677433014,,0.15830160677433014
56,2.9385905265808105,2.9385905265808105,
57,0.15344130992889404,,0.15344130992889404
58,2.937465190887451,2.937465190887451,
59,0.15114609897136688,,0.15114609897136688
60,2.936450481414795,2.936450481414795,
61,0.1467757225036621,,0.1467757225036621
62,2.9353513717651367,2.9353513717651367,
63,0.14386314153671265,,0.14386314153671265
64,2.934274673461914,2.934274673461914,
65,0.14438161253929138,,0.14438161253929138
66,2.93330979347229,2.93330979347229,
67,0.13870875537395477,,0.13870875537395477
68,2.9322738647460938,2.9322738647460938,
69,0.13726557791233063,,0.13726557791233063
70,2.931303024291992,2.931303024291992,
71,0.13440167903900146,,0.13440167903900146
72,2.930295467376709,2.930295467376709,
73,0.134138822555542,,0.134138822555542
74,2.9292941093444824,2.9292941093444824,
75,0.1309887170791626,,0.1309887170791626
76,2.9283981323242188,2.9283981323242188,
77,0.12873834371566772,,0.12873834371566772
78,2.927402973175049,2.927402973175049,
79,0.12770487368106842,,0.12770487368106842
80,2.92648983001709,2.92648983001709,
81,0.12850844860076904,,0.12850844860076904
82,2.9255199432373047,2.9255199432373047,
83,0.12301425635814667,,0.12301425635814667
84,2.924572467803955,2.924572467803955,
85,0.12407857924699783,,0.12407857924699783
86,2.9237093925476074,2.9237093925476074,
87,0.12278226763010025,,0.12278226763010025
88,2.922758102416992,2.922758102416992,
89,0.11986231803894043,,0.11986231803894043
90,2.9218764305114746,2.9218764305114746,
91,0.11691108345985413,,0.11691108345985413
92,2.9209468364715576,2.9209468364715576,
93,0.11649961769580841,,0.11649961769580841
94,2.9200057983398438,2.9200057983398438,
95,0.11421460658311844,,0.11421460658311844
96,2.919173240661621,2.919173240661621,
97,0.11293945461511612,,0.11293945461511612
98,2.9182684421539307,2.9182684421539307,
99,0.11190125346183777,,0.11190125346183777
100,2.9174153804779053,2.9174153804779053,
101,0.10741174221038818,,0.10741174221038818
102,2.9165096282958984,2.9165096282958984,
103,0.10500787198543549,,0.10500787198543549
104,2.9156031608581543,2.9156031608581543,
105,0.10329503566026688,,0.10329503566026688
106,2.9147934913635254,2.9147934913635254,
107,0.0992092564702034,,0.0992092564702034
108,2.913912534713745,2.913912534713745,
109,0.09770049154758453,,0.09770049154758453
110,2.9130637645721436,2.9130637645721436,
111,0.0951383039355278,,0.0951383039355278
112,2.9121811389923096,2.9121811389923096,
113,0.09232285618782043,,0.09232285618782043
114,2.91133451461792,2.91133451461792,
115,0.09092818945646286,,0.09092818945646286
116,2.9104955196380615,2.9104955196380615,
117,0.08748210221529007,,0.08748210221529007
118,2.9096436500549316,2.9096436500549316,
119,0.08363871276378632,,0.08363871276378632
120,2.908802032470703,2.908802032470703,
121,0.08124472945928574,,0.08124472945928574
122,2.9079513549804688,2.9079513549804688,
123,0.07547403126955032,,0.07547403126955032
124,2.9070816040039062,2.9070816040039062,
125,0.07222471386194229,,0.07222471386194229
126,2.906308650970459,2.906308650970459,
127,0.06907597184181213,,0.06907597184181213
128,2.9054946899414062,2.9054946899414062,
129,0.06817881017923355,,0.06817881017923355
130,2.9047012329101562,2.9047012329101562,
131,0.0640602707862854,,0.0640602707862854
132,2.90387225151062,2.90387225151062,
133,0.0639837384223938,,0.0639837384223938
134,2.903090476989746,2.903090476989746,
135,0.062168244272470474,,0.062168244272470474
136,2.902360439300537,2.902360439300537,
137,0.06198349967598915,,0.06198349967598915
138,2.9015936851501465,2.9015936851501465,
139,0.061022743582725525,,0.061022743582725525
140,2.900785446166992,2.900785446166992,
141,0.0614163763821125,,0.0614163763821125
142,2.9000561237335205,2.9000561237335205,
143,0.05984045937657356,,0.05984045937657356
144,2.8992862701416016,2.8992862701416016,
145,0.05906834080815315,,0.05906834080815315
146,2.8985671997070312,2.8985671997070312,
147,0.059084225445985794,,0.059084225445985794
148,2.8978095054626465,2.8978095054626465,
149,0.05902259051799774,,0.05902259051799774
150,2.897092342376709,2.897092342376709,
151,0.05858851224184036,,0.05858851224184036
152,2.896329402923584,2.896329402923584,
153,0.05893850326538086,,0.05893850326538086
154,2.8956027030944824,2.8956027030944824,
155,0.0577833466231823,,0.0577833466231823
156,2.894886016845703,2.894886016845703,
157,0.0590469054877758,,0.0590469054877758
158,2.894155979156494,2.894155979156494,
159,0.05674586817622185,,0.05674586817622185
160,2.8934292793273926,2.8934292793273926,
161,0.056102924048900604,,0.056102924048900604
162,2.8926830291748047,2.8926830291748047,
163,0.0568087063729763,,0.0568087063729763
164,2.891995906829834,2.891995906829834,
165,0.05649632588028908,,0.05649632588028908
166,2.8912978172302246,2.8912978172302246,
167,0.05606464296579361,,0.05606464296579361
168,2.8906164169311523,2.8906164169311523,
169,0.05539293959736824,,0.05539293959736824
170,2.8898773193359375,2.8898773193359375,
171,0.055519551038742065,,0.055519551038742065
172,2.8891983032226562,2.8891983032226562,
173,0.05496697127819061,,0.05496697127819061
174,2.8884825706481934,2.8884825706481934,
175,0.056415725499391556,,0.056415725499391556
176,2.887815237045288,2.887815237045288,
177,0.055243708193302155,,0.055243708193302155
178,2.887119770050049,2.887119770050049,
179,0.05483313277363777,,0.05483313277363777
180,2.8864381313323975,2.8864381313323975,
181,0.0548224039375782,,0.0548224039375782
182,2.885742664337158,2.885742664337158,
183,0.05445808917284012,,0.05445808917284012
184,2.885045051574707,2.885045051574707,
185,0.05419354885816574,,0.05419354885816574
186,2.8843841552734375,2.8843841552734375,
187,0.055387143045663834,,0.055387143045663834
188,2.88370943069458,2.88370943069458,
189,0.05363377183675766,,0.05363377183675766
190,2.883023262023926,2.883023262023926,
191,0.05434903874993324,,0.05434903874993324
192,2.8823390007019043,2.8823390007019043,
193,0.05371673032641411,,0.05371673032641411
194,2.881655216217041,2.881655216217041,
195,0.05398343876004219,,0.05398343876004219
196,2.8810131549835205,2.8810131549835205,
197,0.05407530441880226,,0.05407530441880226
198,2.8803226947784424,2.8803226947784424,
199,0.054596494883298874,,0.054596494883298874
200,2.8796844482421875,2.8796844482421875,
201,0.05451387166976929,,0.05451387166976929
202,2.878981113433838,2.878981113433838,
203,0.05361747369170189,,0.05361747369170189
204,2.8783178329467773,2.8783178329467773,
205,0.05200183391571045,,0.05200183391571045
206,2.877666711807251,2.877666711807251,
207,0.052611056715250015,,0.052611056715250015
208,2.876988172531128,2.876988172531128,
209,0.05221372842788696,,0.05221372842788696
210,2.8763389587402344,2.8763389587402344,
211,0.05260935053229332,,0.05260935053229332
212,2.875654697418213,2.875654697418213,
213,0.05260036885738373,,0.05260036885738373
214,2.8749804496765137,2.8749804496765137,
215,0.05230475962162018,,0.05230475962162018
216,2.8743233680725098,2.8743233680725098,
217,0.053241826593875885,,0.053241826593875885
218,2.8736696243286133,2.8736696243286133,
219,0.052594322711229324,,0.052594322711229324
220,2.8730216026306152,2.8730216026306152,
221,0.05183495953679085,,0.05183495953679085
222,2.8723409175872803,2.8723409175872803,
223,0.052721310406923294,,0.052721310406923294
224,2.871687650680542,2.871687650680542,
225,0.052567411214113235,,0.052567411214113235
226,2.8710434436798096,2.8710434436798096,
227,0.05341775342822075,,0.05341775342822075
228,2.870401382446289,2.870401382446289,
229,0.051165562123060226,,0.051165562123060226
230,2.869722366333008,2.869722366333008,
231,0.052079420536756516,,0.052079420536756516
232,2.869067668914795,2.869067668914795,
233,0.05260954797267914,,0.05260954797267914
234,2.8684096336364746,2.8684096336364746,
235,0.051672015339136124,,0.051672015339136124
236,2.8677783012390137,2.8677783012390137,
237,0.05298211798071861,,0.05298211798071861
238,2.8671462535858154,2.8671462535858154,
239,0.05170913413167,,0.05170913413167
240,2.86649751663208,2.86649751663208,
241,0.05148616433143616,,0.05148616433143616
242,2.865818500518799,2.865818500518799,
243,0.05156562104821205,,0.05156562104821205
244,2.8651766777038574,2.8651766777038574,
245,0.051627203822135925,,0.051627203822135925
246,2.8645119667053223,2.8645119667053223,
247,0.05204513669013977,,0.05204513669013977
248,2.8638687133789062,2.8638687133789062,
249,0.050657469779253006,,0.050657469779253006
250,2.863227128982544,2.863227128982544,
251,0.051709454506635666,,0.051709454506635666
252,2.862558364868164,2.862558364868164,
253,0.05165814608335495,,0.05165814608335495
254,2.8619251251220703,2.8619251251220703,
255,0.05143410339951515,,0.05143410339951515
256,2.861280918121338,2.861280918121338,
257,0.05114516243338585,,0.05114516243338585
258,2.8606386184692383,2.8606386184692383,
259,0.052365388721227646,,0.052365388721227646
260,2.8599812984466553,2.8599812984466553,
261,0.05184352397918701,,0.05184352397918701
262,2.859337329864502,2.859337329864502,
263,0.05155440792441368,,0.05155440792441368
264,2.8586766719818115,2.8586766719818115,
265,0.051060810685157776,,0.051060810685157776
266,2.8580431938171387,2.8580431938171387,
267,0.05166132003068924,,0.05166132003068924
268,2.857384443283081,2.857384443283081,
269,0.05170675367116928,,0.05170675367116928
270,2.856738805770874,2.856738805770874,
271,0.05057819187641144,,0.05057819187641144
272,2.8561112880706787,2.8561112880706787,
273,0.05172169581055641,,0.05172169581055641
274,2.8554539680480957,2.8554539680480957,
275,0.05082636699080467,,0.05082636699080467
276,2.8548038005828857,2.8548038005828857,
277,0.050145190209150314,,0.050145190209150314
278,2.854160785675049,2.854160785675049,
279,0.051973238587379456,,0.051973238587379456
280,2.853536605834961,2.853536605834961,
281,0.05002635344862938,,0.05002635344862938
282,2.852865219116211,2.852865219116211,
283,0.050918322056531906,,0.050918322056531906
284,2.852224349975586,2.852224349975586,
285,0.05038764327764511,,0.05038764327764511
286,2.851581573486328,2.851581573486328,
287,0.04987885802984238,,0.04987885802984238
288,2.850940227508545,2.850940227508545,
289,0.05167518928647041,,0.05167518928647041
290,2.850285291671753,2.850285291671753,
291,0.05052623897790909,,0.05052623897790909
292,2.849635124206543,2.849635124206543,
293,0.051051173359155655,,0.051051173359155655
294,2.8489835262298584,2.8489835262298584,
295,0.049886442720890045,,0.049886442720890045
296,2.8483505249023438,2.8483505249023438,
297,0.051431916654109955,,0.051431916654109955
298,2.8477225303649902,2.8477225303649902,
299,0.05005309358239174,,0.05005309358239174
300,2.847071647644043,2.847071647644043,
301,0.04995858296751976,,0.04995858296751976
302,2.8464245796203613,2.8464245796203613,
303,0.0507514551281929,,0.0507514551281929
304,2.845785140991211,2.845785140991211,
305,0.051539842039346695,,0.051539842039346695
306,2.8451414108276367,2.8451414108276367,
307,0.05149638280272484,,0.05149638280272484
308,2.8445043563842773,2.8445043563842773,
309,0.05054919421672821,,0.05054919421672821
310,2.843845844268799,2.843845844268799,
311,0.050548262894153595,,0.050548262894153595
312,2.843203067779541,2.843203067779541,
313,0.050504375249147415,,0.050504375249147415
314,2.8425464630126953,2.8425464630126953,
315,0.05057532712817192,,0.05057532712817192
316,2.841930389404297,2.841930389404297,
317,0.05082474648952484,,0.05082474648952484
318,2.8412742614746094,2.8412742614746094,
319,0.050923530012369156,,0.050923530012369156
320,2.840625047683716,2.840625047683716,
321,0.05072012543678284,,0.05072012543678284
322,2.839986801147461,2.839986801147461,
323,0.050209105014801025,,0.050209105014801025
324,2.8393144607543945,2.8393144607543945,
325,0.05054771527647972,,0.05054771527647972
326,2.838700771331787,2.838700771331787,
327,0.04984177276492119,,0.04984177276492119
328,2.83803129196167,2.83803129196167,
329,0.05051570385694504,,0.05051570385694504
330,2.837392568588257,2.837392568588257,
331,0.049923915416002274,,0.049923915416002274
332,2.836733818054199,2.836733818054199,
333,0.05039936304092407,,0.05039936304092407
334,2.836092710494995,2.836092710494995,
335,0.049446240067481995,,0.049446240067481995
336,2.835447311401367,2.835447311401367,
337,0.05011922866106033,,0.05011922866106033
338,2.8348209857940674,2.8348209857940674,
339,0.05036573484539986,,0.05036573484539986
340,2.834134817123413,2.834134817123413,
341,0.050572145730257034,,0.050572145730257034
342,2.833495855331421,2.833495855331421,
343,0.050248049199581146,,0.050248049199581146
