epoch,MRR,Hit@1,Hit@5,Hit@10,MeanRank
25,0.3289709538221359,0.21571428328752518,0.45257142186164856,0.567333310842514,171.03057098388672
50,0.3908386379480362,0.27080951631069183,0.5290476083755493,0.6391428411006927,114.94418716430664
75,0.4251825362443924,0.30314286053180695,0.5683333277702332,0.6748571395874023,98.61971282958984
100,0.4511205106973648,0.3287142813205719,0.5985714197158813,0.7023333311080933,89.61347198486328
125,0.46810780465602875,0.3452380895614624,0.6156666576862335,0.719809502363205,83.45880889892578
150,0.48501212894916534,0.36204762756824493,0.6331904530525208,0.7335714101791382,79.40295028686523
175,0.4966835379600525,0.37385714054107666,0.6438571512699127,0.7439523637294769,77.05404663085938
200,0.5078636407852173,0.38633333146572113,0.6559047400951385,0.7539999783039093,74.93257141113281
225,0.5151908099651337,0.3932380825281143,0.6634285748004913,0.7604762017726898,73.47637939453125
250,0.5223282873630524,0.4007619023323059,0.6701428294181824,0.7677618861198425,71.77728271484375
275,0.5286920666694641,0.40747618675231934,0.6757142841815948,0.7708571255207062,70.58161544799805
300,0.5337975025177002,0.412904754281044,0.6812857091426849,0.7759047448635101,69.25580978393555
325,0.5366336405277252,0.41499999165534973,0.6846190392971039,0.779619038105011,68.40056991577148
350,0.5407126247882843,0.4192380905151367,0.6882856786251068,0.7829047441482544,67.40595245361328
375,0.5440211892127991,0.42304761707782745,0.6909999847412109,0.7863809466362,66.75942611694336
400,0.5473102629184723,0.42680951952934265,0.693619042634964,0.7889047563076019,65.88147354125977
425,0.5495751798152924,0.42947618663311005,0.6960952281951904,0.7911904752254486,65.3394775390625
450,0.552091509103775,0.4317142814397812,0.6999523639678955,0.7932856976985931,64.67890548706055
475,0.5546941757202148,0.4348571449518204,0.7027142643928528,0.7953809499740601,64.29971504211426
500,0.5564779043197632,0.436238095164299,0.7045238018035889,0.7973333299160004,63.65028381347656
525,0.5581953525543213,0.43823808431625366,0.70676189661026,0.7992380857467651,63.35904884338379
550,0.5596084892749786,0.4392857104539871,0.7088095247745514,0.8007619082927704,62.784711837768555
